Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
29,805.81,328.95,225.20,21.50,25.20,428.40,1366.20,241.60,160.90,6976.20,224.90,5807.70,228.20,1476.30,2262.60,6440.60,1777.70,2508.20,6915.20
30,805.95,331.12,252.70,21.60,24.00,408.60,1307.80,237.90,161.60,6878.10,224.80,5821.00,220.50,1465.80,2338.80,6426.80,1750.60,2505.00,6966.70
31,806.09,333.28,299.90,27.00,23.20,398.90,1285.20,232.30,166.80,6520.40,218.60,5811.50,220.90,1448.80,2446.70,6519.10,1785.70,2512.10,7025.60
32,806.23,335.45,365.90,25.40,23.10,389.80,1279.40,227.30,165.40,6100.80,229.40,5823.20,211.90,1454.70,2574.40,6611.90,1848.90,2507.10,7088.40
33,806.37,337.62,454.70,30.60,21.40,381.00,1265.00,222.70,173.70,5659.80,224.80,5845.60,216.40,1431.80,2735.80,6763.80,1938.40,2516.90,7116.40
34,806.51,339.78,547.80,28.00,24.50,386.50,1269.90,219.20,175.30,5281.00,231.00,5830.50,209.30,1428.20,2813.10,6930.20,2038.30,2498.50,7233.50
35,806.65,341.95,610.60,32.70,23.00,373.80,1272.10,217.60,189.80,4873.10,234.20,5808.00,192.80,1405.70,2798.50,7044.30,2113.80,2516.90,7267.70
36,806.79,344.11,642.30,41.30,30.80,373.30,1293.70,222.20,200.20,4550.90,240.50,5841.40,188.20,1405.30,2712.40,7070.40,2141.20,2484.50,7345.90
37,806.93,346.27,625.40,41.20,24.20,382.40,1333.60,220.70,206.10,4294.60,240.80,5843.40,189.20,1387.80,2551.30,7129.40,2189.10,2469.10,7379.60
38,807.08,348.43,554.80,44.10,24.90,381.70,1393.30,211.30,215.90,4135.20,248.70,5826.30,180.50,1406.70,2380.00,7105.00,2179.00,2475.70,7439.50
39,807.22,350.59,469.40,47.30,29.20,384.80,1499.80,209.90,221.80,4032.60,251.10,5848.70,171.40,1399.40,2273.30,7138.30,2218.80,2482.10,7441.00
40,807.36,352.75,373.80,59.30,29.80,389.30,1674.10,205.40,243.40,3959.60,253.00,5791.90,162.40,1367.80,2131.80,7207.70,2254.90,2430.50,7399.80
41,807.50,354.91,296.30,64.30,29.20,387.50,1925.30,193.10,263.10,3954.60,260.40,5773.30,153.50,1360.50,2100.80,7408.30,2421.00,2434.70,7364.20
42,807.64,357.07,245.50,74.20,30.00,396.80,2234.90,196.30,305.60,3965.00,271.20,5755.90,159.70,1362.00,2087.10,7718.10,2679.40,2404.10,7297.10
43,807.78,359.23,193.90,84.90,30.70,406.70,2545.50,199.80,348.80,3975.80,282.60,5738.30,165.90,1363.40,2072.90,8028.20,2938.20,2373.20,7229.70
44,807.92,361.38,171.60,100.40,29.10,439.10,2822.90,202.90,404.50,3992.30,298.70,5716.50,154.10,1371.80,2125.00,8292.50,3193.70,2374.10,7176.20
45,808.06,363.54,148.50,125.30,31.80,484.60,3005.90,189.70,498.70,4027.00,303.40,5671.50,157.90,1368.60,2122.00,8379.90,3265.30,2331.40,7082.00
46,808.20,365.69,140.70,147.30,40.50,554.30,3120.20,191.70,605.80,4074.60,314.90,5677.40,152.40,1368.80,2154.30,8291.50,3168.60,2304.60,7007.50
47,808.34,367.84,127.50,189.70,37.60,663.10,3096.80,185.90,701.60,4132.60,336.90,5631.00,136.80,1375.60,2206.80,7950.90,2945.80,2292.30,7039.10
48,808.48,370.00,110.10,236.20,42.60,798.30,3033.30,186.70,777.40,4207.20,371.90,5632.00,142.40,1386.70,2301.00,7567.90,2654.50,2288.50,7036.80
49,808.62,372.15,118.20,323.80,42.40,914.00,2881.90,187.60,809.70,4279.30,392.60,5633.20,144.70,1395.70,2365.80,7182.90,2354.20,2239.10,7049.80
50,808.76,374.30,109.50,411.40,42.20,968.30,2727.30,177.20,777.40,4406.50,423.20,5633.10,138.30,1400.80,2455.00,6916.60,2151.40,2232.00,7130.00
51,808.90,376.45,106.20,531.00,49.20,968.60,2608.10,184.40,700.00,4643.90,479.50,5602.70,127.40,1423.70,2596.80,6755.40,2027.80,2209.10,7198.70
52,809.04,378.59,108.10,630.20,50.10,897.00,2566.90,178.50,623.10,5009.00,539.40,5635.20,137.40,1419.40,2712.00,6679.00,1962.60,2186.10,7244.40
53,809.19,380.74,102.90,702.70,53.00,778.70,2597.80,184.60,539.30,5644.80,606.90,5638.30,135.70,1434.70,2878.80,6739.20,2001.60,2154.80,7339.50
54,809.33,382.89,94.20,707.00,52.90,676.40,2746.50,178.60,463.60,6613.40,678.00,5668.90,133.00,1445.80,3121.80,6887.20,2120.40,2143.60,7373.00
55,809.47,385.03,110.00,674.60,64.50,580.70,2932.00,183.60,421.50,7808.60,770.00,5681.80,132.00,1457.90,3357.90,7186.00,2326.60,2106.70,7540.90
56,809.61,387.18,109.80,575.30,64.20,516.60,3099.50,174.80,396.20,8885.80,841.60,5748.70,115.60,1455.60,3635.10,7652.40,2679.00,2071.30,7645.60
57,809.75,389.32,113.60,445.70,72.50,477.50,3169.90,173.50,362.70,9444.90,872.00,5809.80,125.20,1488.70,3925.80,8463.80,3324.80,2080.10,7828.60
58,809.89,391.46,120.40,348.70,79.80,452.50,3047.10,181.80,365.20,9327.90,902.20,5855.20,119.20,1503.90,4223.50,9745.40,4305.50,2069.90,8015.40
59,810.03,393.60,126.40,267.40,83.30,439.40,2773.20,166.70,347.10,8569.30,856.50,5913.80,130.90,1520.30,4461.10,11449.30,5722.30,2042.70,8268.20
60,810.17,395.74,140.50,211.20,92.50,430.90,2451.50,176.40,354.70,7462.70,814.00,5980.20,124.40,1547.10,4726.60,13486.80,7322.90,2046.90,8506.90
61,810.31,397.88,158.30,193.60,97.20,417.40,2131.70,175.10,367.20,6313.30,715.20,6028.60,122.80,1585.80,4933.40,15180.30,8711.10,2042.70,8830.80
62,810.45,400.02,159.70,175.50,94.00,415.00,1835.40,166.90,367.70,5449.30,632.50,6078.90,119.20,1601.60,5103.30,16034.20,9444.60,2048.00,9076.80
63,810.59,402.16,164.20,168.20,98.70,414.10,1624.70,175.50,390.90,5008.70,553.60,6120.10,116.60,1630.60,5239.00,15872.40,9354.10,2071.40,9291.00
64,810.73,404.29,169.70,176.10,94.80,404.90,1501.50,163.60,407.00,4824.90,466.80,6085.30,111.10,1662.70,5392.90,14651.20,8406.50,2024.30,9403.30
