Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
114,817.73,509.89,913.10,42.10,25.30,289.70,1339.30,128.80,351.10,5212.20,757.10,5510.50,108.20,1340.50,4187.40,7272.80,2206.00,2588.30,10352.90
115,817.87,511.98,1493.10,37.70,29.90,296.50,1374.50,134.70,318.50,4836.70,811.10,5461.50,119.20,1312.70,5025.00,7586.50,2412.10,2557.70,10626.30
116,818.01,514.07,2552.20,39.60,22.50,306.90,1403.00,129.50,286.20,4604.20,897.80,5478.90,115.20,1271.90,6181.80,8206.90,2855.70,2509.90,10854.50
117,818.15,516.15,3875.60,45.60,30.60,318.70,1423.60,122.80,262.50,4518.60,998.10,5466.30,118.00,1276.40,7664.00,9351.60,3654.70,2507.30,10983.00
118,818.29,518.24,4975.70,48.70,28.80,316.90,1480.40,126.80,245.50,4478.70,1160.50,5446.80,112.50,1258.20,9274.50,10922.60,4746.20,2468.20,11019.70
119,818.43,520.32,5404.80,47.10,28.00,307.60,1540.00,127.70,229.30,4455.20,1378.30,5451.90,119.00,1250.70,10768.40,12612.60,5931.70,2477.40,10838.40
120,818.57,522.40,5188.40,55.70,32.00,293.20,1638.00,134.80,220.50,4420.50,1656.30,5454.70,109.10,1247.00,11783.00,13987.70,6881.80,2439.50,10487.10
121,818.71,524.48,4221.80,42.90,26.20,286.40,1716.10,128.80,207.80,4360.00,1944.00,5429.30,111.00,1202.30,11969.60,14699.30,7442.30,2393.20,9945.60
122,818.85,526.56,2916.90,52.70,29.20,279.10,1863.10,119.40,196.60,4360.10,2206.90,5399.50,119.20,1171.10,11502.60,14854.20,7631.00,2348.60,9484.20
123,818.99,528.64,1730.80,42.60,28.90,289.90,2050.60,128.00,184.50,4353.30,2372.40,5412.30,109.30,1136.40,10352.40,14493.80,7500.50,2305.20,9038.30
124,819.13,530.72,1014.70,40.60,30.60,283.90,2264.90,127.40,178.40,4329.00,2377.80,5397.90,123.00,1120.20,8915.90,14144.10,7347.30,2288.00,8696.70
125,819.27,532.80,647.70,43.30,25.30,279.60,2606.30,129.40,176.40,4304.20,2246.60,5371.20,118.50,1103.60,7536.00,13943.10,7293.00,2258.30,8583.10
126,819.40,534.88,471.10,35.00,30.00,269.80,3072.10,127.40,176.00,4324.90,1973.60,5354.50,120.40,1079.40,6394.50,13954.00,7377.50,2190.70,8484.30
127,819.54,536.95,362.60,33.80,32.80,251.30,3706.40,126.50,171.00,4317.00,1656.40,5360.50,125.10,1066.00,5556.30,14121.20,7494.00,2175.50,8466.50
128,819.68,539.03,299.70,34.50,35.30,242.90,4668.50,129.50,157.10,4329.20,1346.90,5357.20,126.10,1045.60,4997.80,14266.80,7647.90,2139.30,8476.70
129,819.82,541.10,238.70,27.00,38.90,227.90,6135.00,121.50,155.30,4323.90,1087.80,5328.80,127.20,1047.30,4608.10,14409.70,7743.40,2114.60,8375.30
130,819.96,543.17,206.20,23.40,30.90,231.50,8356.80,123.20,155.10,4347.50,883.50,5330.10,117.10,1031.30,4337.40,14583.80,7830.40,2069.30,8256.90
131,820.10,545.24,186.90,24.70,39.90,224.30,11462.00,127.10,145.30,4326.70,746.30,5304.10,123.20,1021.80,4104.70,14729.30,7915.60,2029.00,8024.70
132,820.24,547.32,171.40,28.00,37.70,232.30,15591.60,123.80,153.00,4366.10,634.40,5307.80,120.60,1000.50,3930.70,14950.60,8017.00,1988.60,7882.60
133,820.38,549.39,151.40,23.70,40.00,235.70,20148.00,121.00,140.20,4371.90,557.00,5280.80,130.90,1005.00,3799.30,15032.20,8072.00,1967.70,7695.20
134,820.52,551.45,144.20,23.30,42.80,242.30,24348.30,128.40,140.60,4368.90,483.50,5264.30,126.70,978.20,3730.50,14809.70,7853.00,1927.60,7566.50
135,820.66,553.52,135.60,19.70,45.20,268.20,27072.40,120.90,135.10,4378.30,426.10,5271.10,126.30,958.80,3633.60,14176.80,7393.50,1890.70,7445.20
136,820.80,555.59,128.80,22.30,45.30,315.30,27602.20,128.00,131.20,4382.10,391.90,5242.40,139.10,945.80,3576.10,13236.00,6688.80,1845.00,7389.50
137,820.94,557.66,119.60,17.90,52.90,391.00,26010.80,126.40,131.30,4412.20,355.60,5229.90,138.20,919.70,3560.60,12101.40,5877.00,1820.10,7404.20
138,821.08,559.72,109.30,17.30,55.00,514.70,22649.70,127.60,129.30,4433.90,325.00,5244.50,130.10,905.70,3527.00,10923.10,5000.00,1775.60,7380.40
139,821.22,561.78,104.80,17.60,57.70,641.90,18644.70,121.40,139.20,4424.00,306.70,5240.60,143.90,880.50,3501.90,9877.20,4253.80,1721.50,7388.30
140,821.35,563.85,101.30,18.00,57.20,725.40,14858.10,127.40,131.20,4453.30,290.60,5257.70,133.30,865.20,3558.40,9095.20,3658.80,1725.10,7340.30
141,821.49,565.91,88.90,16.60,61.50,725.10,11795.90,130.10,129.10,4459.70,269.90,5253.50,147.00,865.40,3546.80,8552.60,3216.30,1680.30,7283.30
142,821.63,567.97,95.30,18.20,66.30,661.10,9502.10,127.20,135.00,4495.70,251.40,5297.70,142.60,845.90,3632.10,8237.20,2989.40,1649.60,7206.60
143,821.77,570.03,95.20,19.40,72.10,538.10,7832.90,130.90,126.40,4494.40,233.50,5299.20,144.90,821.70,3703.50,8102.90,2868.00,1628.00,7123.70
144,821.91,572.09,91.60,15.20,75.20,407.00,6576.00,128.80,122.90,4518.30,228.10,5309.60,143.90,805.00,3855.20,8131.30,2851.40,1615.10,6983.60
145,822.05,574.15,93.00,14.90,82.50,322.30,5643.70,139.20,128.20,4541.50,204.50,5366.70,141.50,795.20,4063.80,8310.10,3020.80,1597.60,6886.10
146,822.19,576.21,87.60,10.30,94.90,266.10,4891.70,114.10,124.20,4555.80,187.60,5401.80,151.10,782.20,4341.40,8744.50,3270.30,1563.70,6760.70
147,822.33,578.26,87.30,11.40,99.30,249.30,4278.50,128.50,128.20,4582.10,187.80,5432.20,152.50,764.40,4759.90,9266.20,3637.50,1551.90,6736.80
148,822.47,580.32,92.20,11.20,110.80,238.00,3762.30,118.70,127.50,4599.30,172.60,5483.80,144.90,750.50,5339.10,9781.50,3958.40,1532.80,6622.30
149,822.61,582.37,99.80,8.00,127.70,230.30,3355.10,134.00,135.50,4637.50,172.40,5505.60,140.90,719.40,6183.30,10070.10,4172.70,1546.20,6685.50
150,822.75,584.42,101.90,11.30,146.70,235.70,2964.20,129.60,126.80,4634.10,162.80,5526.50,142.50,702.90,7203.70,10036.50,4121.00,1515.00,6612.70
151,822.88,586.48,104.60,8.20,162.30,235.20,2682.20,123.20,127.40,4693.90,150.40,5619.90,156.10,711.40,8452.50,9658.60,3854.70,1498.00,6663.70
152,823.02,588.53,112.70,11.00,196.90,238.00,2402.00,124.10,120.80,4743.40,147.80,5628.50,142.70,681.20,9695.20,9031.70,3420.40,1486.20,6589.50
153,823.16,590.58,132.10,14.00,239.00,239.30,2187.10,123.90,124.40,4810.60,134.30,5702.50,154.90,679.70,10624.30,8348.20,2948.50,1473.20,6518.70
154,823.30,592.63,134.70,9.50,307.30,241.70,1998.50,122.90,123.90,4918.80,133.20,5765.30,157.10,674.00,11180.00,7800.70,2566.20,1481.30,6406.80
155,823.44,594.68,154.00,6.70,406.70,241.80,1843.00,118.10,120.90,5091.90,120.80,5796.10,160.70,669.50,11057.90,7395.50,2299.50,1456.30,6264.70
156,823.58,596.72,172.60,14.40,560.20,255.60,1741.40,126.60,122.40,5368.90,127.90,5862.10,156.10,666.80,10421.20,7150.00,2130.60,1474.00,6171.10
157,823.72,598.77,198.80,15.00,805.00,248.60,1681.70,122.70,118.20,5641.30,121.90,5893.60,152.40,651.70,9353.20,7005.00,2054.40,1455.80,6060.70
158,823.86,600.82,228.30,15.40,1127.50,254.00,1686.90,127.60,129.00,5957.60,122.60,5900.50,153.30,640.00,8212.60,6921.70,1981.60,1433.40,5926.20
159,824.00,602.86,275.20,9.00,1466.90,251.70,1767.30,124.50,126.10,6137.10,112.90,5940.40,146.80,639.40,7247.30,6899.50,1943.60,1463.40,5859.60
160,824.13,604.90,342.10,16.00,1693.70,244.00,1883.30,113.80,115.80,6152.10,106.70,5936.80,155.00,646.40,6561.50,6867.80,1935.40,1460.00,5715.30
161,824.27,606.95,436.50,15.20,1777.90,244.70,1978.80,129.90,119.60,5991.10,104.30,5903.70,164.00,642.10,6232.90,6840.20,1909.60,1457.00,5635.10
162,824.41,608.99,573.10,14.80,1653.90,240.80,2020.90,124.80,122.30,5738.80,101.20,5880.20,156.40,640.60,6330.30,6858.30,1939.00,1438.70,5539.80
163,824.55,611.03,777.50,14.40,1380.20,233.60,2007.20,117.50,121.30,5493.70,98.00,5837.50,162.20,629.20,7058.90,6899.90,1961.60,1454.70,5461.10
164,824.69,613.07,1059.10,14.60,1046.30,237.50,1942.70,117.20,127.60,5339.50,97.70,5802.90,160.20,638.00,8499.80,6929.30,1981.20,1454.20,5401.10
165,824.83,615.11,1424.30,15.90,736.40,230.00,1823.80,125.30,122.30,5307.60,93.10,5751.80,162.30,648.00,11124.20,6988.40,2041.90,1462.60,5357.80
166,824.97,617.15,1818.10,23.70,519.80,228.70,1714.00,116.30,119.10,5478.80,92.10,5701.00,152.00,639.80,14954.70,7101.20,2099.10,1465.30,5316.80
167,825.10,619.18,2127.10,17.10,383.40,235.30,1590.10,122.50,130.30,5795.50,99.50,5661.30,165.20,637.40,19702.80,7190.80,2203.50,1478.90,5327.00
168,825.24,621.22,2324.20,19.00,290.70,235.10,1497.10,121.90,127.30,6277.70,98.50,5649.30,151.90,636.60,24334.60,7364.30,2303.80,1467.60,5281.20
169,825.38,623.25,2260.50,17.50,238.30,248.10,1411.50,121.70,128.00,6757.20,87.60,5618.00,170.60,619.00,27679.60,7523.70,2448.30,1474.50,5258.10
170,825.52,625.29,2026.40,22.80,203.50,256.40,1346.10,115.60,122.70,7140.10,83.80,5623.20,164.80,620.30,29093.90,7822.40,2658.10,1483.00,5284.40
171,825.66,627.32,1649.20,17.80,173.40,286.40,1348.10,123.40,133.70,7276.80,87.40,5579.90,162.00,619.40,28067.90,8234.40,2923.00,1473.40,5301.20
172,825.80,629.35,1254.30,15.00,145.30,342.00,1405.70,114.70,127.10,7103.70,84.20,5574.10,168.80,618.50,25037.30,8750.70,3359.70,1486.90,5256.20
173,825.94,631.38,906.70,13.90,132.60,441.80,1629.00,126.00,135.60,6771.20,89.60,5581.50,163.70,601.50,20995.80,9526.80,3900.50,1490.60,5291.20
174,826.07,633.41,655.20,12.90,121.40,622.00,2107.20,117.10,120.50,6388.70,87.50,5594.30,166.00,598.70,16811.50,10351.40,4536.00,1502.40,5299.70
175,826.21,635.44,511.60,10.00,115.30,887.90,3134.70,120.60,124.00,6188.40,84.00,5594.90,169.90,599.50,13649.60,11178.00,5162.60,1521.80,5305.50
176,826.35,637.47,367.40,7.00,108.30,1154.20,4162.90,124.00,127.70,5987.60,80.10,5595.50,174.10,599.90,10487.00,12004.60,5789.30,1541.30,5311.10
177,826.49,639.50,297.00,13.10,96.70,1354.60,5424.70,127.00,125.20,6164.70,82.40,5552.70,159.90,574.70,8464.00,12356.90,6066.90,1522.40,5333.80
178,826.63,641.52,236.40,10.30,90.30,1420.40,6300.20,120.70,121.20,6760.60,76.80,5567.90,179.60,585.30,7075.30,12286.30,6017.30,1526.90,5318.30
179,826.77,643.55,204.50,10.80,84.00,1323.10,6572.50,126.00,130.40,7918.70,81.70,5558.50,172.70,576.90,6135.10,11768.90,5673.90,1552.40,5295.00
180,826.91,645.57,181.90,18.10,83.00,1088.40,6085.40,116.40,128.30,9581.70,82.60,5559.50,175.30,560.20,5460.30,10919.90,4986.40,1557.90,5290.70
181,827.04,647.60,155.20,14.10,81.20,815.60,4997.40,122.50,126.00,11262.30,80.20,5529.10,173.00,544.60,4954.40,9905.20,4269.00,1542.90,5277.20
182,827.18,649.62,137.50,7.10,76.90,573.10,3707.70,126.90,128.00,12351.20,80.50,5469.90,160.60,535.00,4627.00,8994.50,3583.30,1561.80,5217.70
183,827.32,651.64,119.50,7.60,74.10,414.20,2592.30,134.80,128.20,12493.10,78.60,5501.50,170.30,535.50,4338.60,8206.50,2985.50,1574.70,5178.80
184,827.46,653.66,113.80,9.30,70.10,323.90,1836.70,124.70,129.90,11761.30,82.50,5469.10,162.80,518.90,4145.50,7675.90,2541.40,1598.40,5140.60
185,827.60,655.68,102.60,3.40,68.20,284.70,1432.10,121.00,130.70,10219.10,82.40,5420.30,165.80,521.90,4023.20,7250.60,2260.10,1581.30,5080.20
186,827.74,657.70,98.40,7.60,73.30,259.20,1219.70,121.30,120.80,8524.20,83.10,5425.60,167.40,515.60,3892.40,6963.40,2032.10,1623.30,5006.50
187,827.87,659.71,79.60,0.90,71.30,250.30,1119.20,128.90,121.20,7182.20,80.30,5425.00,165.60,505.70,3752.10,6746.10,1858.20,1612.00,4970.40
188,828.01,661.73,85.10,6.20,71.80,244.30,1077.60,125.10,117.10,6355.20,72.70,5394.60,160.20,513.60,3691.20,6614.60,1740.40,1610.00,4941.60
189,828.15,663.75,80.10,3.60,72.90,238.20,1048.40,130.70,129.60,5908.10,89.10,5381.50,166.40,500.30,3619.10,6490.30,1644.00,1627.20,4915.80
190,828.29,665.76,88.60,9.80,77.20,230.80,1023.00,127.90,128.80,5730.90,82.20,5373.50,170.40,514.50,3577.00,6485.10,1634.30,1668.50,4836.50
191,828.43,667.77,77.70,8.90,76.00,229.70,1020.70,136.80,118.90,5660.70,84.20,5368.60,171.20,497.60,3532.30,6502.70,1631.70,1661.00,4870.30
192,828.56,669.79,72.80,5.50,79.30,221.20,1000.80,136.40,126.20,5636.60,93.40,5331.70,168.60,495.10,3499.80,6550.00,1669.60,1670.70,4808.70
193,828.70,671.80,77.50,2.00,88.40,216.30,992.80,144.10,134.70,5691.30,88.30,5303.60,164.60,516.60,3468.80,6673.90,1762.70,1666.20,4811.30
194,828.84,673.81,86.60,6.20,90.70,217.80,982.30,140.80,126.70,5756.90,80.70,5295.10,163.40,520.80,3443.90,6916.80,1889.10,1688.90,4775.20
195,828.98,675.82,80.90,9.00,96.70,217.80,983.10,144.20,135.30,5805.40,91.50,5262.90,164.60,519.80,3442.40,7130.30,2023.90,1697.80,4778.30
196,829.12,677.83,78.80,9.20,95.80,217.10,962.60,149.90,130.90,5915.70,89.50,5261.50,161.70,527.30,3424.60,7267.80,2113.40,1683.20,4789.80
197,829.25,679.83,72.00,-1.70,99.50,216.60,977.60,146.80,131.20,6029.90,101.70,5234.00,171.20,542.60,3414.30,7303.20,2151.40,1711.70,4744.70
198,829.39,681.84,90.90,7.30,93.30,215.80,958.40,143.10,135.90,6117.30,95.70,5221.40,179.50,556.40,3394.70,7305.20,2153.80,1719.30,4753.90
199,829.53,683.84,97.50,3.30,99.70,216.40,967.30,152.30,135.50,6217.30,107.40,5218.20,161.50,553.90,3382.70,7253.40,2118.60,1711.90,4712.90
200,829.67,685.85,95.30,8.50,92.70,221.10,981.20,146.80,132.00,6252.30,110.70,5202.60,171.80,587.10,3360.00,7190.20,2101.00,1737.20,4777.90
201,829.81,687.85,107.00,8.30,87.10,217.80,1041.40,152.20,138.40,6307.90,121.90,5191.00,153.70,601.40,3328.00,7148.90,2062.80,1738.80,4711.30
202,829.94,689.86,116.80,12.10,80.90,215.70,1092.40,152.30,134.00,6273.40,125.80,5194.90,160.50,615.00,3286.20,7174.20,2103.00,1754.30,4700.00
203,830.08,691.86,120.00,6.60,75.30,212.60,1197.70,163.90,139.30,6295.60,124.70,5208.70,163.00,652.90,3248.50,7304.50,2154.50,1734.60,4759.80
204,830.22,693.86,121.70,9.20,74.40,222.90,1313.50,170.60,132.30,6236.70,127.40,5213.10,166.10,674.40,3221.80,7404.00,2259.90,1743.00,4726.20
205,830.36,695.86,122.30,8.50,62.70,227.80,1397.30,184.00,140.80,6233.50,119.40,5191.90,161.80,708.80,3184.80,7534.50,2343.50,1759.60,4710.60
206,830.50,697.86,120.90,9.90,62.70,241.10,1445.50,217.80,143.70,6264.20,130.80,5233.80,158.20,759.30,3124.00,7650.60,2404.80,1740.00,4681.70
207,830.63,699.85,113.60,2.40,63.70,259.30,1407.50,249.70,140.30,6311.10,122.70,5225.50,156.90,799.20,3083.70,7680.60,2463.40,1754.40,4732.70
208,830.77,701.85,109.30,8.20,58.40,277.80,1329.20,315.40,131.40,6589.50,121.80,5254.50,152.70,828.70,3016.30,7671.20,2420.30,1749.10,4756.40
209,830.91,703.85,104.80,9.40,54.10,284.00,1214.80,506.20,148.60,6997.60,127.90,5282.20,161.50,896.40,2927.50,7604.30,2364.40,1748.50,4736.20
210,831.05,705.84,104.30,17.30,51.40,284.90,1129.20,893.20,150.10,7574.50,128.30,5275.30,163.20,932.90,2882.20,7467.50,2304.00,1758.90,4777.80
211,831.18,707.84,111.50,19.30,53.90,284.90,1065.10,1606.20,148.00,8087.10,136.90,5285.40,155.50,987.00,2817.60,7367.40,2221.10,1759.50,4774.00
212,831.32,709.83,110.90,16.50,52.10,263.60,1034.30,2509.20,153.20,8352.90,152.80,5331.00,156.70,1054.10,2769.00,7262.60,2154.90,1750.10,4772.60
213,831.46,711.82,122.00,15.10,44.40,254.70,1028.50,3196.70,144.10,8283.30,142.80,5375.90,159.80,1129.90,2714.00,7169.40,2096.20,1753.20,4760.90
214,831.60,713.81,126.40,20.50,52.50,245.20,1040.70,3474.80,147.80,7886.60,147.70,5393.00,160.80,1217.70,2673.30,7103.60,2046.80,1747.40,4769.50
215,831.74,715.80,148.90,22.40,43.60,238.90,1066.80,3295.00,157.10,7337.40,158.50,5466.30,156.60,1313.10,2595.00,7053.70,1992.00,1761.60,4736.70
216,831.87,717.79,168.00,20.30,37.90,242.10,1095.10,2627.30,147.60,6755.60,163.60,5511.10,162.30,1412.80,2561.90,7038.00,1987.30,1741.40,4725.40
217,832.01,719.78,207.90,29.60,42.70,251.70,1162.60,1742.20,159.70,6395.90,183.10,5549.10,154.90,1508.00,2524.20,7065.90,1985.80,1751.00,4640.60
218,832.15,721.76,266.20,35.40,40.60,282.80,1230.70,1009.10,154.90,6236.40,186.50,5601.80,160.80,1584.70,2480.10,7066.40,1995.40,1741.20,4651.60
219,832.29,723.75,309.90,30.50,43.20,316.80,1343.80,546.00,158.20,6188.10,202.00,5643.20,149.30,1684.10,2412.40,7120.00,2029.70,1703.60,4573.90
220,832.42,725.74,372.80,32.30,42.90,336.70,1534.00,333.80,157.00,6185.70,211.00,5679.20,160.50,1744.30,2385.60,7302.20,2128.30,1682.60,4569.80
221,832.56,727.72,417.90,37.50,37.00,358.10,1877.70,240.30,159.50,6243.60,218.90,5690.90,155.20,1799.80,2386.50,7593.30,2308.60,1701.60,4545.10
222,832.70,729.70,445.70,38.70,34.30,354.20,2435.80,206.00,159.60,6258.50,232.60,5665.90,143.40,1817.10,2338.20,7871.30,2511.80,1682.80,4550.90
223,832.84,731.68,429.70,39.00,36.00,334.80,3419.80,177.20,164.00,6274.00,246.30,5677.30,146.60,1860.00,2333.00,8277.20,2772.20,1676.30,4501.80
224,832.97,733.67,388.90,50.80,36.70,295.90,4888.80,162.80,164.30,6228.30,263.40,5664.20,151.90,1928.40,2328.00,8621.20,3056.50,1680.50,4476.30
225,833.11,735.65,335.60,51.50,40.20,268.50,6627.80,162.90,171.60,6212.30,278.20,5678.70,142.50,1947.50,2316.80,8882.60,3220.20,1658.50,4512.40
226,833.25,737.62,283.60,67.70,33.60,249.00,8123.60,146.00,172.80,6114.10,304.10,5687.60,153.70,2002.80,2287.60,8945.30,3243.70,1653.50,4447.40
227,833.39,739.60,226.10,68.50,31.80,242.60,8983.60,149.20,173.90,6080.60,335.10,5687.10,160.40,2065.10,2310.90,8859.70,3190.60,1641.30,4431.90
228,833.52,741.58,197.50,73.90,35.40,245.30,8887.90,151.80,182.60,6001.00,365.60,5701.80,142.70,2105.50,2281.00,8634.10,3028.90,1627.90,4436.60
229,833.66,743.56,171.60,79.50,40.00,248.60,7907.20,159.60,196.70,5916.10,407.50,5705.80,150.70,2190.70,2301.20,8307.80,2850.00,1611.80,4418.80
230,833.80,745.53,157.10,87.70,30.40,259.80,6311.00,147.50,194.40,5831.40,434.40,5723.30,148.90,2268.30,2297.90,7970.10,2620.70,1602.90,4368.40
231,833.93,747.51,146.80,89.50,28.70,298.30,4705.60,154.70,196.00,5758.60,482.80,5709.80,138.80,2401.60,2303.80,7674.00,2431.20,1584.60,4373.80
232,834.07,749.48,157.50,117.60,29.10,361.50,3377.30,147.50,206.90,5703.80,532.60,5728.90,144.70,2538.10,2332.60,7459.40,2274.90,1592.00,4417.70
233,834.21,751.45,151.10,124.40,28.60,461.60,2550.40,144.40,202.50,5636.70,586.20,5725.60,138.90,2627.80,2333.50,7232.80,2113.40,1569.00,4385.40
234,834.35,753.42,152.30,134.70,34.90,590.20,2079.30,149.40,214.80,5560.70,654.10,5752.80,143.10,2749.30,2363.70,7044.10,2004.10,1574.80,4408.30
235,834.48,755.39,160.30,156.30,30.20,681.20,1828.90,143.00,211.60,5517.10,742.70,5738.90,143.80,2824.00,2392.00,6872.20,1884.80,1564.10,4373.40
236,834.62,757.36,176.30,174.90,29.70,704.20,1742.30,146.40,223.00,5501.60,835.20,5729.90,133.00,2873.60,2420.90,6742.60,1787.50,1540.60,4337.50
237,834.76,759.33,198.20,205.80,33.00,686.70,1714.10,141.70,227.20,5486.40,964.10,5743.80,146.30,2943.40,2475.40,6621.50,1698.10,1536.60,4397.40
238,834.89,761.30,221.30,227.50,39.60,596.00,1733.10,140.80,237.50,5443.10,1115.10,5754.70,132.00,2979.10,2529.50,6516.90,1640.60,1510.40,4395.70
239,835.03,763.26,254.30,254.80,35.00,478.50,1701.90,141.60,242.30,5446.70,1322.80,5753.70,138.70,3067.70,2617.10,6411.00,1561.90,1506.70,4466.10
240,835.17,765.23,295.90,276.90,33.90,390.30,1604.20,128.80,247.60,5459.30,1601.50,5796.40,131.90,3179.10,2760.50,6380.10,1526.60,1520.10,4486.00
241,835.31,767.19,357.80,309.10,33.60,364.50,1491.50,139.60,257.80,5411.40,1991.10,5788.50,131.70,3233.50,2913.10,6265.00,1466.10,1475.40,4503.30
242,835.44,769.16,458.70,341.70,33.80,382.00,1355.70,130.00,266.70,5449.70,2509.60,5819.40,145.60,3332.50,3180.50,6262.20,1433.20,1489.40,4563.70
243,835.58,771.12,663.30,375.90,37.10,481.90,1197.10,130.50,277.40,5441.20,3259.50,5831.00,123.40,3372.80,3442.90,6197.10,1421.50,1480.00,4554.10
244,835.72,773.08,1061.20,422.10,35.50,674.70,1106.70,137.70,300.30,5503.10,4307.50,5826.60,123.40,3397.70,3776.80,6148.10,1375.20,1442.10,4537.20
245,835.85,775.04,1857.80,483.60,39.90,898.10,1058.50,137.50,307.60,5529.00,5742.80,5856.20,126.00,3378.60,4104.90,6121.30,1361.60,1436.80,4467.50
246,835.99,777.00,3529.80,561.10,39.10,1075.60,1029.70,123.20,320.90,5608.10,7745.90,5845.80,127.50,3342.30,4381.60,6092.10,1332.50,1425.10,4449.80
247,836.13,778.96,6647.30,640.00,41.30,1131.30,1029.00,143.90,354.00,5731.60,10339.80,5830.70,127.60,3274.10,4538.60,6059.40,1318.20,1435.10,4405.30
248,836.26,780.92,11176.40,755.40,40.10,1065.70,1014.20,126.80,374.30,5884.60,13406.30,5821.10,119.90,3233.70,4562.50,6006.90,1267.30,1389.70,4345.90
249,836.40,782.87,15448.00,885.50,50.60,898.80,1019.70,141.10,407.00,6169.50,16525.30,5852.90,129.00,3183.80,4560.50,6048.90,1302.90,1437.90,4269.90
250,836.54,784.83,17698.40,1040.80,53.70,672.10,1020.20,125.00,418.90,6624.00,18925.60,5843.20,118.00,3179.10,4349.00,6011.20,1264.00,1410.80,4224.10
251,836.68,786.78,17525.50,1284.00,48.50,467.00,1057.10,133.00,468.70,7512.80,19907.70,5894.10,129.30,3168.70,4159.10,5989.20,1276.20,1402.50,4229.20
252,836.81,788.74,14933.10,1724.80,57.30,348.40,1111.90,122.10,512.70,8879.80,19178.10,5935.80,130.20,3187.90,3917.40,5977.90,1253.90,1394.20,4158.00
253,836.95,790.69,10471.00,2658.50,73.40,295.90,1285.70,138.60,576.50,10797.10,16888.30,5960.30,121.70,3195.60,3702.90,5957.00,1236.40,1377.40,4122.40
254,837.09,792.64,6056.30,4601.20,87.10,266.40,1633.90,121.40,646.30,12918.80,13681.10,5977.20,117.90,3221.00,3585.50,5964.40,1242.10,1397.30,4106.60
255,837.22,794.59,3109.00,8556.00,107.40,269.90,2260.00,131.40,732.10,14760.10,10305.60,6036.90,121.50,3277.40,3517.00,5941.10,1242.70,1381.00,4130.40
256,837.36,796.54,1692.50,14225.40,126.70,270.10,3066.00,136.30,851.20,15713.30,7449.60,6100.20,119.90,3332.50,3554.00,5945.70,1233.30,1376.40,4044.70
257,837.50,798.49,1167.90,19323.60,150.00,267.60,3705.00,126.00,1018.20,15485.30,5339.10,6125.30,123.80,3387.30,3653.10,5903.80,1231.50,1342.20,4029.20
258,837.63,800.44,983.50,21865.60,166.30,272.60,4022.90,129.10,1267.60,14263.00,3908.60,6173.30,113.90,3450.10,3876.20,5957.00,1227.80,1353.20,4004.30
259,837.77,802.38,989.30,19907.60,158.70,287.20,3687.60,125.40,1757.10,12377.10,3131.10,6236.80,118.00,3523.00,4407.80,5964.00,1227.60,1338.40,4008.50
260,837.91,804.33,995.50,17949.20,150.40,302.40,3351.20,121.50,2246.70,10490.50,2352.80,6301.40,122.20,3596.90,4940.00,5971.40,1227.60,1323.80,4012.80
261,838.04,806.27,1050.20,12332.90,140.60,327.80,2606.50,124.90,3236.80,8933.00,1938.10,6358.80,113.10,3668.10,6009.70,5985.70,1261.00,1328.30,4030.30
262,838.18,808.22,1069.90,6832.90,123.90,367.60,1888.50,123.60,4843.90,7934.00,1619.10,6447.20,118.10,3760.00,7713.20,6026.20,1284.70,1324.60,3987.70
263,838.31,810.16,1058.00,3363.90,108.10,390.70,1425.40,126.90,7271.40,7315.20,1382.90,6522.70,106.90,3827.50,10228.00,5993.40,1279.60,1329.90,3968.80
264,838.45,812.10,996.10,1746.70,88.50,416.30,1189.50,117.00,10608.80,6994.90,1228.40,6692.80,103.80,3928.70,13459.50,6041.30,1298.30,1293.70,3960.20
265,838.59,814.04,857.10,1099.80,87.90,421.50,1086.70,118.00,14345.50,6853.30,1076.10,6805.00,109.40,3987.90,16580.70,6043.90,1330.40,1325.90,3964.90
