Integration Time,200
Timestamp,2019-03-04 19_36_49.405000
Note,
Temperature,-15.41
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 19:36:49 Benzene 1x200ms Spectrum,2019-03-04 19:37:47 BMSB 1x60ms Spectrum,2019-03-04 19:42:13 Toluene 1x500ms Spectrum,2019-03-04 19:42:42 Cyclohexane 1x500ms Spectrum,2019-03-04 19:43:25 Caffeine 1x500ms Spectrum,2019-03-04 19:43:52 AmmoniumNitrate 1x500ms Spectrum,2019-03-04 19:45:29 Isopropanol 1x1s Spectrum,2019-03-04 19:46:51 Acetaminophen 1x500ms Spectrum,2019-03-04 19:47:20 Acetone 1x500ms Spectrum,2019-03-04 19:47:54 Coconut Oil 1x500ms Spectrum,2019-03-04 19:48:54 Methanol 1x1s Spectrum,2019-03-04 19:49:23 Mineral Oil 1x1s Spectrum,2019-03-04 19:50:32 Fructose 1x2s Spectrum,2019-03-04 19:51:30 Sugar 1x1s Spectrum,2019-03-04 19:52:27 Ammonium Chloride 1x2s Spectrum,2019-03-04 19:52:56 Sucrose 1x2s Spectrum,2019-03-04 19:54:30 Glucose Solution 1x5s Spectrum
27,538.74,235.23,106.10,1698.40,12902.00,283.00,6272.00,268.00,1283.00,23048.00,763.00,14853.00,2105.00,1368.00,13982.00,23945.00,2779.00,8313.00,22020.00
28,538.86,239.38,104.40,1714.60,12896.00,277.00,6255.00,279.00,1274.00,22891.00,744.00,14819.00,2107.00,1402.00,13973.00,24006.00,2814.00,8258.00,22005.00
29,538.98,243.53,106.70,1713.10,12963.00,302.00,6317.00,304.00,1268.00,22863.00,754.00,14863.00,2107.00,1409.00,13968.00,24038.00,2876.00,8250.00,21900.00
30,539.10,247.68,107.70,1721.40,13004.00,300.00,6293.00,296.00,1262.00,22840.00,738.00,14918.00,2147.00,1401.00,14037.00,24068.00,2986.00,8300.00,21969.00
31,539.22,251.82,107.70,1726.60,13040.00,298.00,6361.00,336.00,1238.00,22827.00,752.00,14859.00,2111.00,1404.00,14037.00,24098.00,3028.00,8309.00,21972.00
32,539.34,255.96,107.70,1726.40,13038.00,292.00,6346.00,307.00,1238.00,22759.00,754.00,14979.00,2100.00,1403.00,14012.00,24155.00,3085.00,8261.00,21942.00
33,539.46,260.10,109.40,1730.20,13023.00,317.00,6354.00,341.00,1259.00,22791.00,748.00,14969.00,2083.00,1424.00,14043.00,24141.00,3197.00,8297.00,21819.00
34,539.59,264.24,110.70,1739.80,13015.00,309.00,6380.00,336.00,1264.00,22844.00,740.00,14999.00,2060.00,1405.00,14075.00,24129.00,3235.00,8267.00,21824.00
35,539.71,268.38,105.20,1738.50,13044.00,300.00,6411.00,369.00,1243.00,22882.00,756.00,15068.00,2105.00,1424.00,14055.00,24190.00,3313.00,8241.00,21790.00
36,539.83,272.51,111.70,1754.80,13170.00,312.00,6409.00,365.00,1251.00,22863.00,786.00,15061.00,2107.00,1462.00,14075.00,24201.00,3375.00,8305.00,21760.00
37,539.95,276.64,107.80,1749.50,13107.00,327.00,6436.00,422.00,1249.00,22971.00,771.00,15104.00,2073.00,1428.00,14105.00,24205.00,3478.00,8287.00,21813.00
38,540.07,280.77,109.50,1750.20,13153.00,302.00,6464.00,431.00,1229.00,22980.00,774.00,15136.00,2082.00,1450.00,14117.00,24349.00,3554.00,8279.00,21865.00
39,540.19,284.90,115.60,1759.30,13133.00,290.00,6424.00,442.00,1221.00,23020.00,744.00,15174.00,2064.00,1453.00,14174.00,24340.00,3601.00,8258.00,21800.00
40,540.31,289.03,111.30,1762.90,13226.00,298.00,6460.00,446.00,1227.00,23062.00,780.00,15191.00,2077.00,1464.00,14197.00,24346.00,3721.00,8310.00,21813.00
41,540.43,293.15,111.60,1762.30,13280.00,289.00,6483.00,478.00,1219.00,23102.00,757.00,15182.00,2058.00,1471.00,14175.00,24391.00,3736.00,8317.00,21634.00
42,540.55,297.27,115.30,1769.40,13323.00,323.00,6506.00,520.00,1249.00,23152.00,780.00,15271.00,2064.00,1443.00,14265.00,24416.00,3861.00,8338.00,21771.00
43,540.67,301.39,114.30,1770.90,13262.00,294.00,6536.00,536.00,1220.00,23244.00,763.00,15240.00,2064.00,1453.00,14277.00,24450.00,3925.00,8325.00,21716.00
44,540.79,305.51,117.50,1769.10,13280.00,304.00,6527.00,552.00,1181.00,23228.00,798.00,15300.00,2042.00,1520.00,14221.00,24497.00,4002.00,8366.00,21629.00
45,540.91,309.63,114.00,1789.50,13348.00,300.00,6535.00,577.00,1210.00,23400.00,788.00,15372.00,2062.00,1492.00,14263.00,24602.00,4064.00,8349.00,21680.00
46,541.03,313.74,116.10,1789.20,13374.00,309.00,6586.00,604.00,1208.00,23457.00,805.00,15427.00,2047.00,1472.00,14280.00,24683.00,4203.00,8385.00,21653.00
47,541.15,317.85,118.90,1797.70,13475.00,300.00,6576.00,625.00,1203.00,23426.00,801.00,15442.00,2016.00,1503.00,14350.00,24628.00,4274.00,8395.00,21654.00
48,541.27,321.96,118.60,1796.40,13483.00,315.00,6616.00,664.00,1211.00,23467.00,807.00,15452.00,2039.00,1534.00,14324.00,24639.00,4376.00,8427.00,21694.00
49,541.39,326.07,120.00,1801.70,13547.00,298.00,6646.00,689.00,1210.00,23580.00,812.00,15443.00,1997.00,1487.00,14360.00,24784.00,4486.00,8412.00,21715.00
50,541.51,330.18,122.60,1817.10,13570.00,283.00,6616.00,723.00,1219.00,23603.00,795.00,15476.00,2010.00,1511.00,14399.00,24900.00,4569.00,8490.00,21684.00
51,541.63,334.28,121.30,1833.30,13602.00,275.00,6678.00,727.00,1190.00,23769.00,822.00,15558.00,2045.00,1580.00,14408.00,24924.00,4666.00,8560.00,21646.00
52,541.75,338.38,123.00,1842.10,13629.00,296.00,6694.00,746.00,1225.00,23823.00,809.00,15552.00,2020.00,1551.00,14455.00,24957.00,4801.00,8552.00,21646.00
53,541.87,342.48,120.00,1853.60,13684.00,289.00,6762.00,777.00,1259.00,23911.00,830.00,15636.00,2012.00,1570.00,14495.00,25054.00,4955.00,8592.00,21623.00
54,541.99,346.58,118.70,1857.60,13697.00,292.00,6791.00,820.00,1211.00,23935.00,816.00,15689.00,1963.00,1551.00,14443.00,25077.00,5096.00,8600.00,21622.00
55,542.11,350.68,123.60,1871.10,13775.00,295.00,6778.00,834.00,1198.00,23975.00,833.00,15700.00,1996.00,1586.00,14584.00,25145.00,5224.00,8613.00,21703.00
56,542.23,354.77,125.70,1884.10,13775.00,286.00,6787.00,837.00,1253.00,24068.00,823.00,15738.00,1954.00,1604.00,14576.00,25185.00,5424.00,8714.00,21615.00
57,542.35,358.86,126.00,1881.20,13818.00,302.00,6808.00,866.00,1273.00,24126.00,830.00,15784.00,1946.00,1606.00,14694.00,25236.00,5578.00,8720.00,21690.00
58,542.47,362.95,129.40,1899.40,13862.00,294.00,6838.00,881.00,1248.00,24205.00,830.00,15822.00,1959.00,1631.00,14639.00,25401.00,5767.00,8793.00,21635.00
59,542.60,367.04,125.30,1910.70,13984.00,294.00,6866.00,892.00,1225.00,24251.00,839.00,15917.00,1936.00,1631.00,14711.00,25467.00,5963.00,8776.00,21674.00
60,542.72,371.13,127.30,1920.10,14005.00,302.00,6897.00,913.00,1258.00,24416.00,856.00,15926.00,1929.00,1663.00,14781.00,25524.00,6206.00,8850.00,21551.00
61,542.84,375.21,132.90,1926.20,14037.00,298.00,6914.00,939.00,1264.00,24524.00,856.00,15956.00,1893.00,1675.00,14804.00,25599.00,6383.00,8868.00,21515.00
62,542.96,379.30,135.30,1942.10,14079.00,319.00,7007.00,963.00,1241.00,24558.00,846.00,16013.00,1901.00,1633.00,14873.00,25743.00,6624.00,8896.00,21628.00
63,543.08,383.38,137.60,1958.20,14221.00,296.00,6982.00,945.00,1249.00,24762.00,866.00,16078.00,1916.00,1673.00,14931.00,25734.00,6840.00,8904.00,21473.00
64,543.20,387.45,137.10,2003.20,14237.00,302.00,7015.00,972.00,1253.00,24966.00,869.00,16096.00,1867.00,1679.00,14913.00,25851.00,7085.00,8974.00,21500.00
65,543.32,391.53,144.70,2040.30,14305.00,289.00,7024.00,974.00,1241.00,24985.00,860.00,16178.00,1874.00,1701.00,14965.00,25886.00,7282.00,8968.00,21425.00
66,543.44,395.60,145.60,2114.10,14352.00,323.00,7093.00,987.00,1230.00,25136.00,900.00,16230.00,1865.00,1726.00,15076.00,25872.00,7518.00,8968.00,21412.00
67,543.56,399.68,145.80,2192.00,14485.00,312.00,7036.00,987.00,1224.00,25160.00,885.00,16255.00,1857.00,1745.00,15019.00,25955.00,7751.00,9006.00,21386.00
68,543.68,403.75,151.10,2292.00,14523.00,317.00,7138.00,998.00,1177.00,25175.00,877.00,16386.00,1844.00,1726.00,15163.00,25957.00,7975.00,8970.00,21336.00
69,543.80,407.81,157.00,2381.40,14637.00,326.00,7132.00,991.00,1217.00,25420.00,904.00,16389.00,1807.00,1746.00,15139.00,26123.00,8241.00,8926.00,21335.00
70,543.92,411.88,161.80,2422.50,14708.00,319.00,7168.00,1006.00,1186.00,25481.00,907.00,16418.00,1762.00,1766.00,15206.00,26106.00,8514.00,8930.00,21160.00
71,544.04,415.94,177.40,2395.10,14842.00,319.00,7191.00,1013.00,1196.00,25597.00,919.00,16439.00,1771.00,1777.00,15244.00,26210.00,8659.00,8938.00,21026.00
72,544.16,420.01,202.80,2352.20,14829.00,310.00,7228.00,1001.00,1163.00,25542.00,915.00,16488.00,1774.00,1812.00,15366.00,26248.00,8915.00,8896.00,20971.00
73,544.28,424.07,226.40,2296.00,14932.00,336.00,7280.00,994.00,1168.00,25755.00,921.00,16589.00,1794.00,1809.00,15366.00,26306.00,9193.00,8984.00,20860.00
74,544.40,428.13,229.60,2245.50,15059.00,324.00,7295.00,1011.00,1146.00,25783.00,936.00,16635.00,1760.00,1817.00,15404.00,26421.00,9401.00,8896.00,20765.00
75,544.52,432.18,214.00,2199.40,15256.00,351.00,7337.00,989.00,1160.00,25823.00,953.00,16638.00,1686.00,1821.00,15450.00,26422.00,9654.00,8908.00,20585.00
76,544.64,436.24,205.20,2173.40,15333.00,345.00,7385.00,1002.00,1175.00,25946.00,951.00,16704.00,1729.00,1843.00,15484.00,26461.00,9952.00,8928.00,20564.00
77,544.76,440.29,205.70,2180.80,15452.00,336.00,7404.00,1010.00,1124.00,25944.00,953.00,16765.00,1710.00,1874.00,15518.00,26546.00,10217.00,8884.00,20372.00
78,544.88,444.34,206.20,2198.20,15449.00,326.00,7413.00,959.00,1123.00,26020.00,983.00,16837.00,1699.00,1889.00,15584.00,26540.00,10517.00,8898.00,20287.00
79,545.00,448.39,216.00,2258.40,15426.00,336.00,7467.00,963.00,1111.00,26155.00,993.00,16874.00,1699.00,1948.00,15611.00,26584.00,10842.00,8888.00,20100.00
80,545.12,452.43,236.00,2335.50,15379.00,317.00,7459.00,958.00,1085.00,26219.00,991.00,16833.00,1695.00,1940.00,15749.00,26565.00,11089.00,8940.00,19852.00
