Enlighten Version,1.6.7
Serial Number,,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193,WP-00193
Measurement ID,,20190528-122949-408113-WP-00193,20190528-123040-361192-WP-00193,20190528-123053-521211-WP-00193,20190528-123140-841277-WP-00193,20190528-123152-521293-WP-00193,20190528-124448-486387-WP-00193,20190528-124502-100413-WP-00193,20190528-124516-810434-WP-00193,20190528-124528-000450-WP-00193,20190528-124559-530494-WP-00193,20190528-124613-160513-WP-00193,20190528-124637-950548-WP-00193,20190528-124713-500597-WP-00193,20190528-124745-580642-WP-00193,20190528-124757-440659-WP-00193,20190528-124812-100679-WP-00193,20190528-124826-240699-WP-00193,20190528-124837-850716-WP-00193,20190528-124854-070738-WP-00193,20190528-124908-570759-WP-00193,20190528-124921-430777-WP-00193,20190528-124943-470807-WP-00193,20190528-125031-010874-WP-00193,20190528-125122-920947-WP-00193,20190528-125138-070968-WP-00193,20190528-125201-951001-WP-00193,20190528-125214-021018-WP-00193
Integration Time,,1000,500,500,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,50,10,10,5,5
Timestamp,,2019-05-28 12:29:49.408113,2019-05-28 12:30:40.361192,2019-05-28 12:30:53.521211,2019-05-28 12:31:40.841277,2019-05-28 12:31:52.521293,2019-05-28 12:44:48.486387,2019-05-28 12:45:02.100413,2019-05-28 12:45:16.810434,2019-05-28 12:45:28.000450,2019-05-28 12:45:59.530494,2019-05-28 12:46:13.160513,2019-05-28 12:46:37.950548,2019-05-28 12:47:13.500597,2019-05-28 12:47:45.580642,2019-05-28 12:47:57.440659,2019-05-28 12:48:12.100679,2019-05-28 12:48:26.240699,2019-05-28 12:48:37.850716,2019-05-28 12:48:54.070738,2019-05-28 12:49:08.570759,2019-05-28 12:49:21.430777,2019-05-28 12:49:43.470807,2019-05-28 12:50:31.010874,2019-05-28 12:51:22.920947,2019-05-28 12:51:38.070968,2019-05-28 12:52:01.951001,2019-05-28 12:52:14.021018
Note,,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library,Sample Library
Temperature,,10.027889651658995,10.027889651658995,10.027889651658995,10.04492359135179,10.027889651658995,10.027889651658995,10.027889651658995,10.027889651658995,10.010854111966182,10.027889651658995,10.04492359135179,10.027889651658995,10.027889651658995,10.027889651658995,10.027889651658995,10.04492359135179,10.04492359135179,10.027889651658995,10.04492359135179,10.04492359135179,10.027889651658995,10.04492359135179,10.027889651658995,10.027889651658995,10.04492359135179,10.04492359135179,10.027889651658995
CCD C0,,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188,536.9577026367188
CCD C1,,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881,0.11947000026702881
CCD C2,,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05,-1.3838999620929826e-05
CCD C3,,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09,-3.2027001051204707e-09
CCD Offset,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
