Integration Time,60
Timestamp,2019-03-05 16_44_57.477000
Note,
Temperature,-15.38
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Dark,Reference,2019-03-05 16:44:57 BMSB 10x60ms Spectrum,2019-03-05 16:44:57 BMSB 10x60ms Raw,2019-03-05 16:45:22 Benzene 10x100ms Spectrum,2019-03-05 16:45:22 Benzene 10x100ms Raw,2019-03-05 16:45:44 Toluene 10x100ms Spectrum,2019-03-05 16:45:44 Toluene 10x100ms Raw,2019-03-05 16:46:01 Cyclohexane 10x100ms Spectrum,2019-03-05 16:46:01 Cyclohexane 10x100ms Raw,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Spectrum,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Raw,2019-03-05 16:47:49 Acetaminophen 10x200ms Spectrum,2019-03-05 16:47:49 Acetaminophen 10x200ms Raw,2019-03-05 16:48:07 Acetone 10x200ms Spectrum,2019-03-05 16:48:07 Acetone 10x200ms Raw,2019-03-05 16:48:34 Coconut Oil 10x200ms Spectrum,2019-03-05 16:48:34 Coconut Oil 10x200ms Raw,2019-03-05 16:49:11 Caffeine 10x200ms Spectrum,2019-03-05 16:49:11 Caffeine 10x200ms Raw,2019-03-05 16:49:56 Methanol 10x200ms Spectrum,2019-03-05 16:49:56 Methanol 10x200ms Raw,2019-03-05 16:50:18 Isopropanol 10x200ms Spectrum,2019-03-05 16:50:18 Isopropanol 10x200ms Raw,2019-03-05 16:50:40 Mineral Oil 10x200ms Spectrum,2019-03-05 16:50:40 Mineral Oil 10x200ms Raw,2019-03-05 16:51:07 Sugar 10x200ms Spectrum,2019-03-05 16:51:07 Sugar 10x200ms Raw,2019-03-05 16:52:09 Fructose 10x500ms Spectrum,2019-03-05 16:52:09 Fructose 10x500ms Raw,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Spectrum,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Raw,2019-03-05 16:53:12 Sucrose 10x500ms Spectrum,2019-03-05 16:53:12 Sucrose 10x500ms Raw,2019-03-05 16:54:26 Glucose 100g/L 10x1s Spectrum,2019-03-05 16:54:26 Glucose 100g/L 10x1s Raw
243,565.91,1126.31,552.90,,10528.90,,247.80,,25416.00,,1215.00,,348.10,,33712.10,,1775.50,,26304.70,,19524.50,,3725.40,,920.70,,4412.20,,22495.80,,17517.10,,4803.00,,10633.90,,1153.40,
244,566.03,1129.99,550.60,,10852.90,,250.90,,25481.50,,1163.60,,346.30,,33723.30,,1710.20,,26222.70,,19603.90,,3161.90,,857.80,,4268.40,,22492.20,,17534.70,,4569.20,,10594.90,,1126.60,
245,566.14,1133.66,551.50,,11087.00,,254.80,,25564.40,,1146.30,,330.40,,33740.10,,1654.70,,26178.00,,19639.90,,2752.50,,811.00,,4151.80,,22544.80,,17553.20,,4277.40,,10616.60,,1095.60,
246,566.26,1137.33,555.30,,11136.30,,258.90,,25619.40,,1179.00,,329.10,,33771.30,,1609.40,,26080.10,,19689.90,,2433.10,,758.40,,4052.20,,22535.00,,17603.50,,3955.90,,10606.70,,1085.50,
247,566.38,1141.00,555.30,,11036.70,,267.80,,25692.00,,1264.60,,326.00,,33791.40,,1583.20,,26095.50,,19729.40,,2197.20,,716.30,,3979.10,,22575.90,,17604.10,,3625.40,,10575.90,,1063.30,
248,566.50,1144.67,555.40,,10881.90,,277.50,,25785.70,,1282.80,,320.40,,33872.40,,1552.30,,26060.00,,19735.10,,2002.60,,677.20,,3914.70,,22578.70,,17642.70,,3337.40,,10565.70,,1044.40,
249,566.62,1148.34,555.10,,10653.60,,296.80,,25875.40,,1174.40,,315.20,,33910.60,,1522.80,,26044.50,,19754.60,,1837.80,,648.80,,3858.80,,22564.50,,17673.40,,3035.20,,10546.60,,1038.90,
250,566.73,1152.00,553.90,,10417.90,,332.30,,25963.40,,1064.50,,309.20,,33935.40,,1496.60,,26027.20,,19740.70,,1711.00,,616.10,,3812.50,,22600.90,,17687.10,,2735.40,,10527.10,,1020.20,
251,566.85,1155.67,553.20,,10267.10,,375.60,,26068.70,,986.40,,305.90,,33957.80,,1475.70,,26029.30,,19734.10,,1598.40,,594.30,,3774.10,,22627.90,,17742.90,,2466.20,,10527.50,,1006.10,
252,566.97,1159.33,552.90,,10201.10,,437.40,,26179.20,,936.00,,305.40,,33987.90,,1459.40,,26019.20,,19711.20,,1493.20,,579.90,,3743.40,,22620.40,,17739.20,,2237.10,,10540.80,,1003.20,
253,567.09,1162.99,553.50,,10241.20,,511.00,,26257.20,,906.20,,300.90,,34036.90,,1438.90,,26035.20,,19658.70,,1414.00,,549.10,,3708.60,,22658.80,,17750.70,,2068.10,,10514.30,,982.40,
254,567.20,1166.64,553.70,,10391.40,,551.40,,26402.70,,875.30,,302.30,,34067.00,,1415.90,,26044.90,,19658.90,,1341.70,,544.30,,3687.90,,22665.20,,17782.60,,1920.80,,10511.40,,987.30,
255,567.32,1170.30,554.40,,10699.90,,534.10,,26519.60,,857.80,,296.00,,34137.70,,1407.20,,26032.20,,19692.00,,1273.20,,526.40,,3679.20,,22705.30,,17777.70,,1811.40,,10507.20,,966.40,
256,567.44,1173.95,554.40,,11087.90,,474.30,,26598.90,,834.60,,286.30,,34142.00,,1379.60,,26024.10,,19653.70,,1219.80,,520.90,,3663.20,,22711.60,,17788.90,,1738.70,,10529.00,,969.70,
257,567.56,1177.60,557.40,,11588.90,,409.10,,26655.60,,830.30,,292.30,,34209.30,,1366.20,,26061.60,,19651.50,,1166.60,,528.60,,3671.00,,22727.10,,17827.20,,1667.60,,10536.20,,969.90,
258,567.67,1181.25,555.10,,12098.10,,366.40,,26780.20,,830.90,,285.10,,34204.60,,1352.80,,26069.00,,19706.30,,1110.20,,537.00,,3661.30,,22794.30,,17849.20,,1623.00,,10547.20,,956.30,
259,567.79,1184.89,553.80,,12306.30,,349.20,,26916.50,,830.60,,287.60,,34224.40,,1347.00,,26143.90,,19710.20,,1066.30,,582.80,,3693.20,,22816.50,,17858.80,,1579.60,,10577.00,,961.70,
260,567.91,1188.54,552.80,,12122.20,,343.70,,26996.90,,821.10,,279.20,,34268.20,,1334.60,,26185.70,,19743.50,,1031.10,,635.10,,3722.30,,22863.10,,17877.20,,1540.50,,10582.90,,950.10,
261,568.03,1192.18,555.30,,11706.90,,351.00,,27106.20,,801.50,,280.40,,34335.10,,1326.40,,26217.30,,19785.10,,992.90,,695.00,,3773.30,,22895.20,,17883.60,,1510.10,,10617.00,,945.40,
262,568.14,1195.82,553.50,,11303.60,,390.00,,27201.60,,791.30,,275.50,,34343.10,,1321.80,,26298.70,,19824.30,,967.80,,775.80,,3819.60,,22980.30,,17939.20,,1492.50,,10654.40,,943.90,
263,568.26,1199.46,554.30,,10961.10,,432.80,,27354.40,,777.50,,285.30,,34412.40,,1329.70,,26381.80,,19840.20,,932.80,,860.40,,3869.80,,23012.80,,17953.00,,1470.40,,10694.00,,943.90,
264,568.38,1203.10,555.20,,10669.40,,421.00,,27463.00,,772.30,,276.00,,34433.60,,1328.80,,26471.30,,19954.40,,908.90,,938.30,,3909.30,,23083.40,,17988.20,,1446.60,,10742.20,,942.90,
265,568.50,1206.73,557.70,,10466.70,,376.60,,27600.40,,766.10,,283.20,,34523.50,,1324.10,,26577.50,,19998.90,,881.90,,976.90,,3963.80,,23144.40,,18042.10,,1435.40,,10755.30,,942.20,
266,568.61,1210.36,556.00,,10371.00,,331.30,,27754.70,,757.90,,275.20,,34576.00,,1327.20,,26716.30,,20038.50,,865.20,,980.30,,4024.20,,23225.70,,18083.20,,1429.90,,10814.70,,942.50,
267,568.73,1213.99,553.10,,10321.40,,308.40,,27928.20,,757.90,,275.20,,34641.80,,1329.00,,26830.60,,20084.70,,840.60,,925.50,,4098.50,,23214.80,,18120.20,,1409.70,,10848.40,,952.90,
268,568.85,1217.62,554.90,,10327.80,,293.30,,28135.30,,752.90,,270.70,,34727.00,,1337.60,,27001.40,,20123.60,,822.70,,858.60,,4192.90,,23299.30,,18189.20,,1400.60,,10860.10,,947.40,
269,568.97,1221.25,556.10,,10382.20,,278.50,,28396.20,,750.40,,272.10,,34805.60,,1352.30,,27181.50,,20176.60,,799.50,,809.90,,4312.40,,23348.40,,18283.80,,1391.80,,10915.10,,959.30,
270,569.08,1224.87,555.10,,10522.40,,273.30,,28754.50,,759.70,,270.90,,34922.80,,1367.60,,27389.60,,20212.00,,795.50,,818.30,,4450.40,,23421.00,,18368.60,,1379.40,,10962.00,,954.40,
271,569.20,1228.49,559.10,,10705.30,,269.90,,29132.10,,760.10,,273.90,,34994.70,,1393.50,,27650.00,,20293.40,,778.10,,858.50,,4601.10,,23481.80,,18518.70,,1380.70,,11029.70,,951.80,
272,569.32,1232.11,558.70,,10828.90,,268.70,,29337.10,,766.70,,279.10,,35136.70,,1412.30,,27878.50,,20366.40,,761.90,,956.00,,4782.70,,23544.40,,18678.00,,1378.60,,11109.70,,961.30,
273,569.44,1235.73,561.30,,10873.20,,270.40,,29311.50,,777.60,,266.70,,35219.60,,1433.80,,28075.00,,20380.60,,749.10,,1105.30,,4992.70,,23666.40,,18792.20,,1369.30,,11209.80,,966.30,
274,569.55,1239.35,558.70,,10786.10,,278.20,,29157.70,,788.00,,270.40,,35309.80,,1467.70,,28230.40,,20455.70,,734.90,,1289.10,,5147.80,,23716.10,,18836.50,,1355.00,,11264.90,,953.30,
275,569.67,1242.96,558.80,,10653.40,,283.50,,29067.30,,790.00,,272.70,,35397.40,,1502.90,,28254.70,,20468.00,,724.80,,1473.20,,5255.70,,23790.40,,18766.30,,1358.10,,11333.50,,951.60,
276,569.79,1246.57,561.20,,10508.20,,287.40,,29035.90,,788.00,,267.10,,35493.10,,1525.20,,28225.60,,20578.60,,715.30,,1634.00,,5317.30,,23827.60,,18682.50,,1349.70,,11397.40,,961.80,
277,569.90,1250.19,557.30,,10426.00,,317.20,,29066.10,,808.20,,270.70,,35525.40,,1568.50,,28154.10,,20598.70,,712.00,,1709.40,,5307.60,,23861.40,,18637.60,,1351.90,,11400.50,,952.10,
278,570.02,1253.79,559.80,,10369.30,,334.70,,29149.10,,823.40,,269.30,,35542.90,,1591.90,,28099.70,,20670.90,,707.30,,1646.60,,5266.40,,23876.80,,18603.20,,1336.90,,11350.20,,944.50,
279,570.14,1257.40,560.60,,10363.00,,339.80,,29249.20,,844.90,,265.40,,35573.80,,1636.50,,28042.40,,20738.60,,696.80,,1474.50,,5169.80,,23903.80,,18601.90,,1341.30,,11297.40,,929.60,
280,570.26,1261.00,559.70,,10357.00,,340.20,,29339.60,,881.60,,272.60,,35663.60,,1689.90,,27982.70,,20806.30,,690.40,,1232.80,,5050.10,,23915.70,,18604.00,,1331.60,,11239.80,,931.30,
281,570.37,1264.61,561.20,,10382.00,,325.60,,29469.20,,929.20,,271.50,,35678.80,,1769.40,,27981.40,,20842.30,,683.80,,1000.60,,4899.60,,23946.90,,18622.20,,1330.80,,11193.20,,914.50,
282,570.49,1268.21,556.20,,10408.40,,316.70,,29576.90,,1005.50,,271.60,,35747.10,,1851.40,,27909.90,,20886.80,,682.50,,814.10,,4793.60,,23955.60,,18667.50,,1338.70,,11181.10,,909.00,
283,570.61,1271.80,559.10,,10451.10,,306.20,,29721.70,,1108.40,,264.20,,35780.90,,1956.20,,27816.90,,20948.30,,669.20,,663.20,,4690.20,,24012.40,,18667.10,,1328.80,,11170.10,,910.30,
284,570.72,1275.40,561.60,,10499.20,,299.30,,29818.10,,1292.80,,265.40,,35854.60,,2081.20,,27784.60,,20989.00,,663.00,,543.00,,4601.40,,24054.70,,18710.50,,1332.20,,11194.80,,882.90,
285,570.84,1278.99,559.60,,10591.80,,302.90,,29905.20,,1610.20,,274.70,,35895.00,,2170.20,,27710.40,,21041.90,,655.00,,453.70,,4517.10,,24068.80,,18741.00,,1328.50,,11178.40,,879.60,
286,570.96,1282.59,564.10,,10660.80,,306.20,,29952.10,,1787.10,,266.00,,35925.70,,2189.00,,27664.40,,21087.30,,651.80,,360.70,,4457.70,,24111.30,,18766.60,,1324.40,,11196.10,,861.60,
287,571.08,1286.18,561.40,,10696.60,,324.90,,30052.80,,1663.90,,265.60,,35996.50,,2131.70,,27673.70,,21131.60,,652.60,,297.30,,4419.90,,24160.20,,18806.80,,1326.40,,11218.40,,854.50,
288,571.19,1289.76,562.30,,10703.80,,332.20,,30167.10,,1521.30,,266.90,,36013.20,,2021.80,,27696.20,,21179.10,,649.70,,254.30,,4404.60,,24207.40,,18845.60,,1329.80,,11254.40,,844.80,
289,571.31,1293.35,566.80,,10681.70,,311.80,,30211.20,,1483.10,,274.80,,36067.40,,1894.40,,27701.40,,21258.70,,649.90,,213.30,,4386.90,,24235.00,,18888.30,,1320.00,,11265.60,,824.10,
290,571.43,1296.93,564.10,,10642.00,,297.70,,30336.00,,1456.20,,272.70,,36035.00,,1755.50,,27732.80,,21304.40,,642.20,,197.50,,4364.70,,24292.80,,18915.20,,1325.20,,11288.80,,818.90,
291,571.54,1300.52,563.80,,10637.60,,282.60,,30391.40,,1361.10,,271.70,,36064.40,,1656.70,,27680.80,,21318.50,,633.50,,188.20,,4353.00,,24310.50,,18920.30,,1320.90,,11333.80,,796.40,
292,571.66,1304.10,564.30,,10645.30,,276.30,,30487.30,,1274.80,,268.60,,36130.80,,1579.60,,27716.20,,21387.80,,635.00,,190.30,,4349.80,,24363.10,,18982.00,,1321.90,,11343.40,,789.40,
293,571.78,1307.67,564.10,,10645.70,,270.10,,30571.60,,1278.00,,267.50,,36167.50,,1526.10,,27765.20,,21440.50,,634.20,,215.80,,4342.20,,24393.60,,19023.00,,1323.50,,11334.60,,789.70,
294,571.89,1311.25,563.70,,10650.30,,275.70,,30680.30,,1404.30,,275.80,,36195.00,,1486.20,,27771.00,,21457.50,,637.90,,238.80,,4349.20,,24423.80,,19065.10,,1319.00,,11328.10,,774.30,
295,572.01,1314.82,562.30,,10679.70,,269.60,,30762.00,,1601.40,,268.00,,36223.90,,1438.90,,27763.50,,21546.50,,626.20,,274.90,,4347.80,,24420.90,,19106.40,,1324.30,,11303.60,,780.80,
296,572.13,1318.40,567.90,,10711.90,,267.60,,30870.80,,1899.10,,271.20,,36296.30,,1403.00,,27817.00,,21566.90,,630.30,,318.60,,4369.40,,24432.40,,19138.90,,1320.70,,11285.90,,762.70,
297,572.25,1321.97,563.70,,10730.20,,266.60,,31000.10,,2344.80,,272.90,,36369.60,,1382.80,,27847.70,,21624.10,,630.70,,363.90,,4365.60,,24494.60,,19169.40,,1320.00,,11285.60,,751.20,
298,572.36,1325.53,561.80,,10789.40,,272.80,,31093.20,,2712.70,,265.80,,36386.60,,1354.60,,27808.30,,21654.10,,629.30,,399.70,,4343.50,,24516.80,,19241.00,,1326.10,,11298.80,,746.00,
299,572.48,1329.10,560.60,,10796.60,,277.20,,31196.30,,2551.30,,275.90,,36436.70,,1342.30,,27821.00,,21720.30,,630.90,,419.20,,4338.60,,24508.50,,19228.50,,1322.60,,11290.70,,739.50,
300,572.60,1332.66,565.10,,10820.80,,276.50,,31251.40,,2021.70,,271.00,,36462.60,,1318.10,,27796.50,,21766.60,,624.60,,416.40,,4310.20,,24549.30,,19264.20,,1332.50,,11303.60,,735.50,
301,572.71,1336.23,566.10,,10850.40,,274.60,,31293.60,,1588.60,,271.20,,36534.20,,1301.30,,27795.20,,21828.20,,628.00,,421.10,,4283.60,,24610.70,,19278.10,,1330.20,,11304.30,,742.50,
302,572.83,1339.79,569.30,,10885.90,,270.40,,31300.60,,1299.60,,271.80,,36573.20,,1300.00,,27764.20,,21852.00,,630.50,,390.80,,4240.60,,24640.80,,19282.20,,1329.90,,11352.40,,726.10,
303,572.95,1343.34,564.80,,10904.80,,278.70,,31369.20,,1129.40,,278.00,,36635.30,,1301.10,,27767.30,,21909.80,,634.10,,356.00,,4197.60,,24673.70,,19270.50,,1331.50,,11375.30,,728.40,
304,573.06,1346.90,566.10,,10924.20,,278.80,,31470.60,,1034.10,,270.10,,36668.50,,1282.30,,27779.50,,21939.90,,627.00,,329.40,,4173.00,,24709.80,,19319.40,,1328.80,,11424.80,,736.80,
305,573.18,1350.45,568.80,,10947.90,,282.70,,31516.80,,971.80,,278.20,,36730.30,,1286.50,,27774.60,,21986.80,,632.60,,300.80,,4150.70,,24761.30,,19296.70,,1330.70,,11440.60,,723.00,
306,573.30,1354.00,564.00,,11017.90,,296.20,,31587.60,,960.20,,269.70,,36793.00,,1270.30,,27780.00,,22044.40,,638.30,,277.30,,4143.10,,24787.70,,19295.70,,1323.50,,11452.50,,738.90,
307,573.41,1357.55,567.30,,11036.70,,293.10,,31689.00,,979.90,,268.00,,36805.20,,1268.30,,27829.20,,22124.50,,643.70,,254.50,,4115.50,,24840.60,,19324.80,,1325.10,,11486.10,,726.20,
308,573.53,1361.10,568.40,,11058.80,,306.80,,31755.20,,1136.50,,275.00,,36886.60,,1263.40,,27857.90,,22149.40,,633.40,,235.10,,4096.10,,24877.70,,19353.90,,1326.10,,11491.80,,729.20,
309,573.65,1364.65,565.30,,11107.90,,328.10,,31846.10,,1514.80,,272.80,,36900.70,,1251.30,,27900.70,,22221.20,,653.70,,238.60,,4084.60,,24961.40,,19385.30,,1337.30,,11561.30,,722.20,
310,573.76,1368.19,568.90,,11130.20,,348.70,,31904.80,,1594.80,,273.70,,36981.20,,1255.20,,27902.90,,22286.30,,654.60,,223.50,,4081.80,,25028.20,,19449.50,,1329.00,,11629.80,,731.00,
311,573.88,1371.73,566.90,,11156.20,,418.80,,31977.20,,1281.40,,270.60,,36954.40,,1254.40,,27908.70,,22329.00,,659.30,,213.60,,4074.10,,25060.00,,19452.60,,1336.60,,11650.40,,730.20,
312,574.00,1375.27,566.70,,11182.00,,533.70,,32091.70,,1079.60,,277.20,,37069.40,,1263.80,,27972.10,,22392.10,,659.60,,203.80,,4066.40,,25113.00,,19515.00,,1335.70,,11686.60,,726.50,
313,574.11,1378.81,566.70,,11221.10,,743.80,,32188.00,,1006.00,,276.90,,37119.40,,1260.80,,28021.90,,22466.40,,666.40,,191.40,,4061.50,,25120.50,,19536.40,,1327.30,,11665.60,,727.50,
314,574.23,1382.35,570.50,,11251.80,,1065.50,,32277.30,,973.30,,280.50,,37204.90,,1268.40,,28058.70,,22549.30,,675.90,,189.00,,4049.30,,25179.70,,19585.00,,1328.80,,11645.00,,717.30,
315,574.35,1385.88,570.70,,11271.60,,1350.70,,32391.20,,967.90,,275.20,,37251.60,,1269.40,,28117.30,,22597.90,,688.40,,177.40,,4039.10,,25202.20,,19634.40,,1337.90,,11638.10,,737.20,
316,574.46,1389.41,567.70,,11338.50,,1209.10,,32533.50,,984.30,,282.40,,37334.40,,1278.40,,28167.90,,22672.90,,695.90,,163.30,,4056.50,,25245.00,,19691.10,,1336.90,,11649.70,,725.20,
317,574.58,1392.94,568.60,,11376.40,,832.10,,32624.80,,1004.80,,283.40,,37393.60,,1272.70,,28184.60,,22710.90,,697.40,,147.50,,4065.90,,25278.40,,19739.60,,1344.60,,11651.20,,728.10,
318,574.70,1396.47,573.70,,11442.60,,583.90,,32814.40,,1042.30,,275.30,,37483.90,,1267.60,,28257.60,,22807.30,,699.10,,121.20,,4065.80,,25336.60,,19818.60,,1343.40,,11663.60,,720.00,
319,574.81,1400.00,569.60,,11537.20,,477.80,,32943.90,,1080.50,,282.10,,37529.50,,1279.40,,28297.30,,22857.00,,700.10,,105.40,,4050.60,,25374.20,,19832.10,,1325.00,,11678.90,,729.70,
320,574.93,1403.52,568.30,,11644.40,,438.20,,32957.30,,1099.90,,280.30,,37691.80,,1281.50,,28348.60,,22936.30,,710.30,,87.80,,4067.00,,25436.30,,19926.90,,1328.50,,11715.70,,723.30,
321,575.04,1407.04,568.40,,11717.40,,409.90,,32968.00,,1099.70,,288.20,,37689.60,,1289.30,,28341.40,,22986.30,,712.90,,74.40,,4056.20,,25465.50,,19954.00,,1339.20,,11740.00,,715.00,
322,575.16,1410.56,569.40,,11832.60,,374.40,,32971.80,,1073.80,,283.90,,37787.50,,1284.20,,28422.60,,23071.90,,716.40,,51.60,,4060.10,,25538.70,,19992.50,,1340.70,,11781.00,,715.50,
323,575.28,1414.08,570.60,,11966.70,,355.00,,33020.10,,1031.80,,284.80,,37863.70,,1292.30,,28472.90,,23144.10,,710.80,,27.80,,4047.60,,25564.90,,20051.40,,1340.20,,11796.30,,706.70,
324,575.39,1417.59,574.50,,12063.60,,339.20,,33120.50,,988.50,,283.20,,37901.10,,1298.10,,28472.40,,23207.40,,718.90,,12.20,,4042.40,,25602.80,,20085.90,,1350.70,,11814.40,,712.60,
325,575.51,1421.11,573.60,,12153.80,,339.80,,33253.60,,963.30,,286.40,,37974.10,,1311.50,,28511.80,,23272.20,,714.40,,-3.50,,4032.20,,25681.10,,20128.00,,1353.50,,11831.40,,716.70,
326,575.63,1424.62,575.90,,12275.10,,337.60,,33353.50,,947.20,,289.40,,38018.80,,1320.70,,28506.20,,23317.30,,707.50,,-19.70,,4019.60,,25707.20,,20144.80,,1347.70,,11844.10,,712.20,
327,575.74,1428.13,572.10,,12311.30,,338.90,,33480.20,,954.00,,288.90,,38091.80,,1328.60,,28531.30,,23375.30,,708.90,,-40.30,,3996.50,,25770.00,,20152.50,,1356.70,,11861.50,,715.40,
328,575.86,1431.64,570.60,,12268.20,,349.30,,33510.30,,963.40,,292.60,,38090.50,,1337.50,,28558.50,,23448.40,,711.20,,-59.20,,3984.30,,25770.00,,20160.30,,1351.90,,11868.70,,712.10,
329,575.98,1435.14,574.40,,12174.70,,345.70,,33480.50,,971.10,,282.60,,38067.80,,1330.20,,28570.10,,23491.90,,702.00,,-72.50,,3976.70,,25834.20,,20171.30,,1366.30,,11867.90,,709.70,
330,576.09,1438.64,572.20,,12102.70,,352.00,,33496.00,,960.20,,287.40,,38138.10,,1336.00,,28603.40,,23565.00,,709.70,,-78.60,,3962.90,,25865.00,,20208.30,,1371.30,,11898.20,,701.70,
331,576.21,1442.15,578.00,,12032.90,,341.60,,33449.40,,922.90,,287.70,,38148.20,,1313.30,,28606.30,,23625.70,,693.30,,-90.60,,3933.60,,25909.10,,20194.10,,1363.20,,11934.00,,711.30,
332,576.32,1445.65,575.60,,12034.70,,350.90,,33435.10,,891.80,,290.00,,38183.20,,1309.80,,28617.60,,23632.30,,701.40,,-104.10,,3926.70,,25954.70,,20229.60,,1364.20,,11936.00,,720.30,
333,576.44,1449.14,575.20,,12097.70,,351.90,,33464.80,,859.70,,283.20,,38227.30,,1304.90,,28620.80,,23699.50,,692.90,,-121.10,,3909.90,,25973.20,,20243.20,,1370.00,,11967.60,,719.20,
334,576.56,1452.64,574.10,,12143.20,,357.40,,33508.60,,850.10,,291.80,,38266.30,,1305.50,,28651.90,,23747.90,,693.30,,-121.90,,3902.20,,26000.50,,20278.80,,1373.60,,11989.90,,721.60,
335,576.67,1456.13,574.80,,12168.90,,371.70,,33513.10,,839.20,,287.30,,38297.90,,1307.90,,28666.60,,23767.90,,691.20,,-129.20,,3904.10,,26032.20,,20257.10,,1370.50,,11993.40,,706.80,
336,576.79,1459.62,574.20,,12144.80,,394.60,,33530.70,,835.00,,288.20,,38374.60,,1292.10,,28691.20,,23803.60,,692.10,,-132.70,,3888.80,,26072.60,,20302.70,,1382.10,,12028.00,,712.60,
337,576.90,1463.11,579.30,,12042.10,,434.30,,33549.50,,832.80,,287.40,,38435.30,,1284.70,,28694.10,,23844.40,,695.00,,-137.40,,3883.30,,26060.80,,20313.80,,1368.90,,12032.70,,709.10,
338,577.02,1466.60,580.90,,11954.00,,515.90,,33540.90,,825.20,,289.70,,38428.10,,1287.50,,28678.80,,23861.60,,681.40,,-144.80,,3866.40,,26086.00,,20322.70,,1382.70,,12035.00,,710.40,
339,577.14,1470.09,579.10,,11910.30,,643.30,,33564.50,,824.60,,294.20,,38506.70,,1305.30,,28657.70,,23905.90,,688.10,,-153.10,,3857.80,,26138.80,,20373.40,,1377.40,,12062.40,,726.10,
340,577.25,1473.57,575.90,,11918.90,,749.20,,33558.80,,824.90,,293.10,,38482.90,,1298.40,,28665.40,,23907.50,,676.40,,-154.40,,3855.70,,26143.10,,20375.80,,1381.40,,12095.00,,720.50,
341,577.37,1477.05,573.60,,11931.50,,762.20,,33486.50,,831.30,,297.60,,38479.90,,1299.10,,28662.60,,23988.80,,671.00,,-155.00,,3854.40,,26140.70,,20403.50,,1384.40,,12080.50,,720.90,
342,577.49,1480.53,577.40,,11992.40,,682.60,,33455.20,,830.00,,294.10,,38485.60,,1307.60,,28678.70,,24006.30,,671.60,,-151.30,,3850.90,,26189.70,,20411.90,,1385.00,,12094.20,,728.40,
343,577.60,1484.01,577.60,,12040.70,,599.70,,33414.70,,834.70,,286.10,,38514.30,,1305.00,,28688.30,,24069.70,,663.10,,-154.90,,3837.30,,26212.00,,20438.60,,1400.00,,12100.10,,729.40,
344,577.72,1487.48,580.20,,12059.70,,514.40,,33404.70,,845.70,,302.30,,38483.30,,1314.20,,28687.10,,24102.20,,652.00,,-155.50,,3836.50,,26214.70,,20474.40,,1387.10,,12093.40,,714.20,
345,577.83,1490.96,577.80,,12077.50,,458.50,,33354.80,,870.30,,297.90,,38465.70,,1321.70,,28708.90,,24115.40,,636.20,,-154.80,,3825.00,,26257.20,,20472.90,,1404.50,,12106.30,,727.40,
346,577.95,1494.43,579.50,,12097.50,,418.60,,33307.20,,899.40,,296.00,,38483.10,,1328.50,,28686.00,,24190.90,,628.20,,-154.80,,3832.50,,26276.40,,20512.90,,1397.60,,12122.20,,733.70,
347,578.06,1497.90,578.00,,12128.00,,398.30,,33261.90,,912.70,,296.60,,38492.20,,1330.40,,28675.30,,24172.10,,622.00,,-161.50,,3829.60,,26320.50,,20512.20,,1403.20,,12133.70,,743.10,
348,578.18,1501.37,578.20,,12157.50,,384.50,,33242.60,,910.40,,291.90,,38537.90,,1316.10,,28732.10,,24241.60,,620.90,,-155.50,,3827.30,,26316.10,,20562.90,,1407.00,,12153.60,,737.20,
349,578.30,1504.83,580.50,,12180.00,,384.70,,33233.80,,890.30,,300.80,,38521.30,,1328.90,,28700.80,,24285.30,,616.80,,-162.00,,3821.80,,26353.80,,20567.10,,1418.30,,12155.40,,739.80,
350,578.41,1508.29,578.90,,12176.80,,387.10,,33191.40,,874.20,,304.90,,38583.80,,1338.80,,28767.90,,24342.00,,612.40,,-163.50,,3816.90,,26376.60,,20600.10,,1413.60,,12198.00,,725.30,
351,578.53,1511.76,580.90,,12204.70,,398.20,,33190.20,,861.60,,303.70,,38660.60,,1336.90,,28782.40,,24380.20,,601.70,,-167.00,,3807.30,,26372.90,,20648.80,,1417.10,,12196.10,,730.20,
352,578.64,1515.22,579.80,,12257.80,,412.20,,33197.00,,862.60,,297.90,,38729.50,,1342.80,,28780.10,,24415.00,,602.60,,-170.50,,3806.30,,26425.60,,20673.60,,1415.60,,12202.50,,739.00,
353,578.76,1518.67,579.90,,12286.60,,415.50,,33180.80,,873.40,,300.60,,38715.40,,1350.80,,28786.50,,24440.80,,601.40,,-165.20,,3805.50,,26425.10,,20675.70,,1423.70,,12201.00,,740.60,
354,578.88,1522.13,580.20,,12357.80,,399.10,,33161.20,,863.00,,298.20,,38822.70,,1352.00,,28831.50,,24519.50,,595.00,,-168.90,,3821.20,,26504.10,,20720.70,,1426.00,,12225.10,,740.90,
355,578.99,1525.58,577.70,,12452.70,,377.50,,33141.70,,857.10,,301.80,,38921.20,,1365.10,,28905.70,,24585.20,,601.00,,-167.90,,3815.70,,26569.60,,20736.20,,1427.50,,12251.90,,735.00,
