Integration Time,60
Timestamp,2019-03-05 16_44_57.477000
Note,
Temperature,-15.38
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Dark,Reference,2019-03-05 16:44:57 BMSB 10x60ms Spectrum,2019-03-05 16:44:57 BMSB 10x60ms Raw,2019-03-05 16:45:22 Benzene 10x100ms Spectrum,2019-03-05 16:45:22 Benzene 10x100ms Raw,2019-03-05 16:45:44 Toluene 10x100ms Spectrum,2019-03-05 16:45:44 Toluene 10x100ms Raw,2019-03-05 16:46:01 Cyclohexane 10x100ms Spectrum,2019-03-05 16:46:01 Cyclohexane 10x100ms Raw,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Spectrum,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Raw,2019-03-05 16:47:49 Acetaminophen 10x200ms Spectrum,2019-03-05 16:47:49 Acetaminophen 10x200ms Raw,2019-03-05 16:48:07 Acetone 10x200ms Spectrum,2019-03-05 16:48:07 Acetone 10x200ms Raw,2019-03-05 16:48:34 Coconut Oil 10x200ms Spectrum,2019-03-05 16:48:34 Coconut Oil 10x200ms Raw,2019-03-05 16:49:11 Caffeine 10x200ms Spectrum,2019-03-05 16:49:11 Caffeine 10x200ms Raw,2019-03-05 16:49:56 Methanol 10x200ms Spectrum,2019-03-05 16:49:56 Methanol 10x200ms Raw,2019-03-05 16:50:18 Isopropanol 10x200ms Spectrum,2019-03-05 16:50:18 Isopropanol 10x200ms Raw,2019-03-05 16:50:40 Mineral Oil 10x200ms Spectrum,2019-03-05 16:50:40 Mineral Oil 10x200ms Raw,2019-03-05 16:51:07 Sugar 10x200ms Spectrum,2019-03-05 16:51:07 Sugar 10x200ms Raw,2019-03-05 16:52:09 Fructose 10x500ms Spectrum,2019-03-05 16:52:09 Fructose 10x500ms Raw,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Spectrum,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Raw,2019-03-05 16:53:12 Sucrose 10x500ms Spectrum,2019-03-05 16:53:12 Sucrose 10x500ms Raw,2019-03-05 16:54:26 Glucose 100g/L 10x1s Spectrum,2019-03-05 16:54:26 Glucose 100g/L 10x1s Raw
17,538.99,243.85,519.30,,4895.30,,117.70,,9651.00,,394.70,,235.20,,20105.30,,562.10,,15226.40,,9384.30,,1327.00,,989.80,,1225.20,,13347.20,,10943.60,,1079.30,,6311.20,,15651.50,
18,539.11,247.98,516.60,,4909.40,,123.50,,9683.40,,400.60,,249.30,,20214.60,,566.40,,15273.70,,9398.50,,1330.40,,983.10,,1226.80,,13389.00,,10958.60,,1115.80,,6360.10,,15652.20,
19,539.23,252.11,515.10,,4931.70,,124.40,,9712.90,,408.90,,256.30,,20289.70,,567.00,,15343.80,,9453.70,,1342.70,,990.80,,1238.60,,13430.00,,10987.20,,1129.80,,6402.80,,15603.30,
20,539.35,256.23,515.80,,4939.90,,125.30,,9738.70,,408.50,,260.50,,20419.60,,572.50,,15370.80,,9468.00,,1345.60,,992.10,,1248.00,,13487.40,,10965.90,,1161.40,,6431.00,,15567.70,
21,539.47,260.36,519.70,,4955.10,,123.10,,9746.40,,401.00,,260.40,,20501.80,,569.60,,15433.60,,9517.00,,1335.70,,983.80,,1254.60,,13538.30,,10975.90,,1189.10,,6462.80,,15534.80,
22,539.59,264.48,517.30,,4970.10,,127.50,,9760.50,,413.30,,266.70,,20638.80,,572.20,,15473.30,,9544.70,,1346.00,,977.00,,1247.00,,13567.10,,10984.50,,1217.80,,6516.60,,15527.00,
23,539.71,268.60,519.60,,4991.50,,127.50,,9779.00,,405.60,,273.10,,20749.80,,572.70,,15507.80,,9553.60,,1348.10,,969.60,,1260.70,,13587.40,,10966.00,,1251.10,,6553.40,,15493.00,
24,539.83,272.72,519.60,,5010.60,,122.80,,9792.20,,405.90,,276.50,,20943.00,,563.10,,15542.30,,9615.90,,1347.40,,970.40,,1258.90,,13654.00,,10974.10,,1285.40,,6585.10,,15448.00,
25,539.95,276.83,517.10,,5034.80,,125.20,,9822.80,,412.80,,290.10,,21159.00,,573.60,,15578.20,,9638.80,,1349.90,,957.80,,1259.00,,13696.50,,10970.40,,1333.00,,6615.80,,15466.40,
26,540.07,280.95,517.90,,5042.80,,124.00,,9846.30,,415.80,,299.10,,21395.50,,580.10,,15614.60,,9670.40,,1349.20,,951.10,,1268.10,,13693.80,,10949.80,,1359.80,,6616.40,,15416.30,
27,540.19,285.06,518.10,,5070.80,,127.10,,9848.10,,414.30,,298.40,,21698.50,,573.20,,15643.40,,9717.70,,1349.80,,953.60,,1280.40,,13744.50,,10945.30,,1408.10,,6618.20,,15402.30,
28,540.31,289.17,518.90,,5079.00,,126.50,,9881.60,,414.80,,306.40,,21990.40,,577.00,,15713.80,,9739.00,,1359.50,,952.30,,1282.90,,13762.00,,10964.10,,1451.60,,6632.60,,15357.40,
29,540.43,293.28,516.60,,5096.20,,130.20,,9900.50,,419.60,,313.50,,22258.80,,583.60,,15759.00,,9765.20,,1353.20,,939.90,,1286.70,,13765.10,,10951.00,,1495.80,,6613.40,,15349.20,
30,540.55,297.38,521.40,,5101.10,,124.20,,9924.40,,416.40,,322.20,,22453.20,,580.70,,15789.50,,9804.60,,1357.10,,943.50,,1291.50,,13810.60,,10954.30,,1548.50,,6591.60,,15347.40,
31,540.67,301.49,523.30,,5118.30,,122.60,,9936.70,,420.00,,335.30,,22514.70,,589.20,,15808.30,,9842.20,,1360.40,,929.40,,1295.10,,13802.80,,10954.80,,1588.80,,6588.40,,15281.50,
32,540.79,305.59,518.50,,5136.30,,127.80,,9955.70,,422.70,,341.50,,22442.90,,583.30,,15854.60,,9850.50,,1364.60,,934.90,,1299.50,,13819.00,,10946.90,,1636.80,,6570.80,,15256.80,
33,540.91,309.69,518.80,,5138.60,,126.20,,9984.60,,426.20,,355.60,,22315.30,,590.20,,15880.20,,9894.40,,1363.10,,922.80,,1298.40,,13824.00,,10937.00,,1683.50,,6555.20,,15250.30,
34,541.03,313.79,521.10,,5172.10,,124.10,,10004.40,,425.60,,361.10,,22129.30,,590.70,,15931.60,,9928.00,,1356.60,,918.30,,1314.00,,13854.70,,10953.50,,1732.00,,6538.10,,15213.70,
35,541.15,317.88,520.00,,5176.60,,126.20,,10025.50,,426.50,,373.70,,21965.50,,595.80,,15975.10,,9940.50,,1365.50,,922.40,,1318.10,,13851.00,,10965.60,,1769.50,,6527.10,,15221.50,
36,541.27,321.98,521.70,,5186.30,,124.50,,10052.50,,429.40,,391.50,,21884.20,,604.40,,16028.00,,9958.60,,1358.00,,915.70,,1324.30,,13893.20,,10970.80,,1825.00,,6523.90,,15227.70,
37,541.39,326.07,520.70,,5200.40,,127.80,,10072.40,,433.20,,396.40,,21810.60,,601.40,,16066.90,,10000.40,,1367.50,,912.50,,1320.30,,13894.50,,10994.90,,1871.60,,6527.60,,15182.30,
38,541.51,330.16,518.50,,5216.10,,131.40,,10076.30,,439.70,,413.00,,21758.60,,604.70,,16085.90,,10029.80,,1363.90,,910.90,,1332.60,,13906.80,,11006.00,,1920.50,,6515.00,,15180.70,
39,541.63,334.25,520.80,,5226.20,,134.70,,10111.20,,435.20,,425.60,,21761.60,,607.30,,16109.70,,10071.90,,1352.60,,907.90,,1328.60,,13931.00,,10995.30,,1957.40,,6507.00,,15168.30,
40,541.75,338.33,520.50,,5241.30,,133.90,,10126.10,,437.90,,446.20,,21755.00,,610.70,,16152.80,,10089.20,,1359.50,,907.40,,1335.40,,13939.20,,11013.60,,2011.30,,6515.00,,15126.90,
41,541.87,342.42,518.80,,5255.70,,133.00,,10130.80,,439.70,,455.70,,21734.40,,606.50,,16176.80,,10102.80,,1355.30,,900.10,,1348.60,,13945.30,,11010.50,,2051.70,,6499.30,,15120.80,
42,541.99,346.50,518.70,,5261.50,,133.40,,10179.50,,437.30,,476.40,,21769.20,,610.30,,16198.50,,10151.70,,1354.70,,895.50,,1351.50,,13959.10,,11051.80,,2111.70,,6507.20,,15103.50,
43,542.11,350.58,519.80,,5279.30,,137.80,,10174.60,,441.40,,501.90,,21787.90,,609.60,,16216.20,,10160.50,,1346.60,,901.20,,1347.10,,13990.00,,11051.90,,2161.60,,6523.00,,15071.80,
44,542.23,354.66,521.80,,5292.50,,137.00,,10195.10,,440.20,,518.90,,21819.40,,616.00,,16279.40,,10209.10,,1354.40,,900.30,,1361.00,,13995.60,,11052.90,,2203.60,,6525.10,,15052.10,
45,542.35,358.73,520.50,,5302.60,,138.50,,10218.80,,435.30,,536.30,,21866.40,,621.80,,16292.60,,10230.10,,1346.00,,885.20,,1362.70,,14020.00,,11089.50,,2259.00,,6527.40,,15070.50,
46,542.47,362.81,520.40,,5306.50,,137.50,,10224.90,,435.70,,574.20,,21899.70,,626.10,,16334.60,,10265.10,,1339.50,,882.30,,1361.60,,14037.60,,11111.00,,2307.40,,6529.70,,15043.60,
47,542.59,366.88,519.30,,5308.30,,139.60,,10254.80,,435.70,,589.50,,21923.30,,627.40,,16352.30,,10268.50,,1335.60,,880.50,,1365.80,,14057.40,,11119.10,,2363.10,,6550.80,,15043.30,
48,542.71,370.95,521.20,,5337.50,,136.20,,10270.30,,436.90,,615.40,,21970.20,,622.70,,16381.90,,10303.90,,1341.70,,887.60,,1378.80,,14084.20,,11102.60,,2410.20,,6561.50,,15015.70,
49,542.83,375.02,521.20,,5351.90,,138.90,,10296.20,,439.70,,643.70,,22010.90,,629.90,,16415.30,,10317.70,,1335.00,,879.50,,1384.80,,14099.40,,11137.60,,2463.60,,6555.60,,15024.50,
50,542.95,379.08,520.60,,5372.10,,137.60,,10327.80,,440.30,,670.90,,22060.00,,629.60,,16467.50,,10388.90,,1332.40,,883.70,,1385.40,,14154.30,,11166.70,,2520.90,,6556.70,,15010.50,
51,543.07,383.15,521.50,,5392.00,,138.10,,10360.00,,438.70,,712.80,,22143.50,,636.40,,16507.00,,10395.60,,1328.20,,877.00,,1395.20,,14174.50,,11182.00,,2588.70,,6597.80,,15011.70,
52,543.19,387.21,521.40,,5419.20,,139.00,,10380.40,,439.80,,743.20,,22204.10,,639.60,,16546.00,,10430.10,,1319.10,,880.50,,1395.00,,14192.10,,11197.20,,2643.00,,6610.40,,15028.70,
53,543.31,391.27,523.40,,5413.00,,138.10,,10401.70,,432.90,,768.70,,22242.40,,643.80,,16588.70,,10465.10,,1319.90,,876.50,,1414.20,,14229.20,,11217.80,,2701.50,,6618.60,,15026.70,
54,543.43,395.33,522.50,,5448.40,,141.20,,10419.10,,438.50,,800.60,,22311.30,,645.40,,16620.60,,10490.90,,1324.40,,876.90,,1409.10,,14239.40,,11245.70,,2760.50,,6635.30,,15031.80,
55,543.55,399.38,520.70,,5453.50,,144.40,,10460.20,,440.80,,833.40,,22403.60,,645.40,,16636.60,,10520.10,,1318.00,,882.80,,1421.10,,14267.40,,11270.40,,2818.70,,6662.60,,15020.90,
56,543.67,403.44,521.00,,5475.70,,146.40,,10465.60,,436.80,,872.50,,22499.70,,655.60,,16677.30,,10556.70,,1300.40,,875.60,,1418.60,,14315.10,,11301.10,,2898.10,,6669.90,,15016.10,
57,543.79,407.49,518.60,,5512.50,,152.60,,10509.10,,436.40,,902.80,,22578.50,,660.00,,16718.70,,10589.10,,1297.50,,885.10,,1424.30,,14336.50,,11322.00,,2973.20,,6691.00,,15009.60,
58,543.91,411.54,521.60,,5527.30,,150.90,,10534.30,,436.70,,923.50,,22656.70,,661.10,,16771.40,,10628.90,,1297.20,,884.50,,1433.10,,14374.70,,11338.20,,3058.90,,6735.10,,15001.20,
59,544.03,415.59,524.10,,5567.60,,147.10,,10591.80,,437.40,,949.40,,22743.80,,664.30,,16792.70,,10662.20,,1292.70,,883.90,,1437.80,,14423.80,,11363.00,,3139.90,,6747.30,,15016.10,
60,544.15,419.63,524.00,,5594.30,,150.10,,10610.00,,435.10,,977.10,,22793.50,,669.20,,16850.30,,10706.20,,1290.90,,886.70,,1448.50,,14459.00,,11382.90,,3231.30,,6779.00,,15019.80,
61,544.27,423.68,524.60,,5635.00,,148.50,,10658.20,,435.30,,1004.70,,22884.10,,679.80,,16887.90,,10743.10,,1289.10,,887.50,,1463.50,,14498.90,,11417.50,,3338.80,,6812.50,,15007.60,
62,544.39,427.72,523.20,,5673.00,,156.20,,10672.40,,436.70,,1029.10,,22935.00,,687.70,,16961.20,,10790.10,,1276.70,,891.90,,1468.20,,14554.90,,11456.50,,3450.60,,6845.50,,15037.40,
63,544.51,431.76,521.20,,5700.30,,157.60,,10720.80,,446.50,,1043.30,,23005.10,,685.50,,16976.40,,10820.20,,1272.70,,896.00,,1470.50,,14590.40,,11475.80,,3583.70,,6873.00,,14999.40,
64,544.63,435.80,520.10,,5743.10,,163.00,,10760.50,,447.80,,1070.90,,23087.30,,695.70,,17063.10,,10871.20,,1262.80,,895.80,,1487.10,,14636.60,,11529.00,,3704.10,,6925.70,,15003.20,
65,544.75,439.84,520.00,,5766.30,,170.00,,10825.10,,448.40,,1087.30,,23182.60,,694.80,,17107.60,,10902.00,,1259.90,,905.00,,1493.90,,14712.20,,11532.80,,3823.80,,6927.80,,15026.00,
66,544.87,443.87,524.40,,5785.10,,165.00,,10847.60,,443.20,,1101.50,,23259.30,,699.70,,17153.90,,10959.50,,1249.50,,900.20,,1491.10,,14723.40,,11573.90,,3970.30,,6978.20,,15024.50,
67,544.99,447.90,523.00,,5803.40,,166.30,,10874.70,,445.20,,1129.00,,23345.00,,708.70,,17211.70,,10988.10,,1249.40,,900.00,,1510.60,,14761.30,,11615.40,,4109.50,,6999.50,,14997.50,
68,545.11,451.93,526.20,,5826.30,,165.70,,10934.70,,449.50,,1139.60,,23464.50,,715.90,,17239.70,,11030.50,,1238.70,,905.20,,1519.70,,14795.00,,11638.90,,4249.00,,6999.30,,14984.70,
69,545.23,455.96,524.40,,5894.50,,175.60,,10979.90,,453.00,,1164.60,,23594.00,,728.60,,17316.20,,11063.70,,1226.10,,898.50,,1522.40,,14875.20,,11671.70,,4413.60,,7031.50,,14982.90,
70,545.35,459.99,524.80,,5962.70,,173.10,,11015.70,,455.20,,1181.40,,23703.40,,730.40,,17334.90,,11116.80,,1224.30,,903.10,,1534.10,,14909.90,,11710.90,,4557.70,,7041.40,,14953.90,
71,545.46,464.01,523.70,,6068.80,,182.70,,11064.40,,451.80,,1193.20,,23813.00,,744.50,,17415.00,,11152.40,,1222.30,,900.70,,1540.90,,14934.80,,11756.40,,4703.10,,7065.90,,14940.00,
72,545.58,468.03,523.60,,6232.10,,190.90,,11129.20,,455.80,,1200.20,,23970.90,,744.40,,17459.50,,11197.00,,1206.70,,889.60,,1555.80,,14974.00,,11793.50,,4857.40,,7063.10,,14899.00,
73,545.70,472.05,523.60,,6436.50,,199.60,,11190.00,,456.90,,1213.40,,24112.20,,747.90,,17506.80,,11251.30,,1193.50,,885.90,,1558.90,,15027.60,,11839.60,,5036.60,,7047.90,,14875.40,
74,545.82,476.07,523.90,,6675.00,,201.70,,11245.80,,460.20,,1225.80,,24238.00,,758.90,,17574.60,,11300.30,,1192.00,,885.70,,1573.20,,15036.30,,11865.10,,5195.50,,7051.20,,14816.00,
75,545.94,480.09,524.20,,6965.60,,202.50,,11313.30,,461.30,,1227.50,,24325.80,,766.90,,17615.90,,11327.30,,1182.90,,878.40,,1588.10,,15070.20,,11893.20,,5351.10,,7062.40,,14792.30,
76,546.06,484.10,525.90,,7239.20,,211.10,,11383.10,,468.00,,1237.10,,24439.50,,778.30,,17676.70,,11408.30,,1169.20,,861.40,,1596.20,,15104.60,,11971.80,,5520.30,,7040.50,,14746.30,
77,546.18,488.11,525.50,,7373.20,,227.10,,11454.00,,470.90,,1240.40,,24542.30,,785.70,,17717.10,,11447.70,,1165.70,,858.20,,1598.10,,15154.00,,11980.70,,5683.90,,7032.80,,14681.30,
78,546.30,492.12,524.70,,7324.90,,253.50,,11501.90,,471.00,,1238.50,,24599.50,,796.40,,17791.20,,11467.30,,1152.00,,851.50,,1618.30,,15165.30,,12017.10,,5836.70,,7034.20,,14629.00,
79,546.42,496.13,525.60,,7159.50,,297.70,,11592.20,,466.50,,1241.90,,24693.80,,798.60,,17856.70,,11551.80,,1143.20,,849.80,,1629.30,,15195.80,,12064.30,,5996.20,,7016.80,,14564.20,
80,546.54,500.14,526.30,,6979.60,,340.10,,11643.60,,469.20,,1240.30,,24774.50,,822.10,,17916.50,,11590.10,,1141.20,,848.60,,1645.10,,15221.60,,12116.40,,6165.30,,7003.20,,14486.00,
81,546.66,504.14,527.80,,6830.90,,341.70,,11733.80,,472.20,,1241.90,,24856.50,,829.10,,17966.10,,11644.80,,1133.60,,844.90,,1656.60,,15250.60,,12161.40,,6339.40,,6991.90,,14442.30,
82,546.78,508.14,527.80,,6695.20,,315.50,,11851.20,,475.60,,1239.60,,24891.40,,834.50,,18035.10,,11694.60,,1119.40,,831.60,,1657.50,,15298.60,,12191.70,,6510.80,,6984.20,,14330.40,
