Integration Time,50,,,,,,,,,,,,,,,,,,
Timestamp,2019-03-04 08_23_13.758000,,,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,,,
Temperature,10.02,,,,,,,,,,,,,,,,,,
CCD C0,801.7174072,,,,,,,,,,,,,,,,,,
CCD C1,0.141220003,,,,,,,,,,,,,,,,,,
CCD C2,-5.61E-06,,,,,,,,,,,,,,,,,,
CCD C3,-8.54E-09,,,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Pixel,Wavelength,Wavenumber,2019-03-04 08:23:13 Toluene 10x50ms Spectrum,2019-03-04 08:23:32 Cyclohexane 10x50ms Spectrum,2019-03-04 08:24:40 Benzene 10x25ms Spectrum,2019-03-04 08:25:43 BMSB 10x5ms Spectrum,2019-03-04 08:26:42 Caffeine 10x100ms Spectrum,2019-03-04 08:26:57 AmmoniumNitrate 10x100ms Spectrum,2019-03-04 08:27:19 Isopropanol 10x100ms Spectrum,2019-03-04 08:27:35 Acetaminophen 10x100ms Spectrum,2019-03-04 08:27:52 Acetone 10x100ms Spectrum,2019-03-04 08:28:31 CoconutOil 10x200ms Spectrum,2019-03-04 08:30:17 Methanol 10x200ms Spectrum,2019-03-04 08:30:36 MineralOil 10x200ms Spectrum,2019-03-04 08:31:32 Fructose 10x500ms Spectrum,2019-03-04 08:31:56 Sugar 10x500ms Spectrum,2019-03-04 08:32:20 GlucoseSolution 10x500ms Spectrum,2019-03-04 08:32:50 Sucrose 10x500ms Spectrum,2019-03-04 08:34:51 AmmoniumChloride 10x500ms Spectrum
22,804.82,313.74,233.2,47.8,58.9,484.7,2241.8,478.2,235.4,6155,366.9,9164.4,484.1,2359.5,2702.6,10014,2439.7,3779.3,2495.8
23,804.96,315.91,220.6,40.1,64.4,455.9,2174.9,467.1,224.8,6589.1,357.2,9121,457.1,2332.9,2649.3,9702.2,2454.1,3553.5,2494.2
24,805.1,318.09,229.5,38.9,60.3,418.2,2050.2,458.4,233,7174.1,359.2,9129.8,444.6,2323,2542.5,9318.2,2436.7,3245.1,2504.7
25,805.24,320.26,236.7,35.5,66.1,379.9,1916.6,455,234.4,7867.5,368.6,9097.9,412,2295.4,2548.9,8842.4,2455.9,2858.6,2486.4
26,805.39,322.43,247.8,34.2,64.4,362.5,1781.6,443.3,232.9,8692.7,358.9,9117.3,410.3,2298.6,2509.7,8461.3,2451,2556.7,2486.5
27,805.53,324.61,272.8,52.5,62.8,336.8,1670,441.5,237.9,9353.4,361.8,9122.7,398,2262.6,2512.7,8126.5,2454.7,2278.5,2497.7
28,805.67,326.78,284,34.6,60.1,316.2,1573.6,439.1,237.5,9727.7,359,9095.9,377,2259.4,2550.9,7900.5,2480.5,2110.3,2469.7
29,805.81,328.95,325.5,40.5,61.7,304.9,1522.4,437.4,241.6,9643.4,359.4,9104.2,369.6,2237.7,2617.7,7883.6,2496,2070.6,2471.2
30,805.95,331.12,367.6,46.9,63.3,293.1,1470.6,435.1,245.8,9558.3,359.7,9112.1,362,2215.5,2684.7,7866.5,2511.5,2030.3,2472.4
31,806.09,333.28,446.6,47.3,65,284.6,1454,422.9,256.8,9127.5,369.5,9128.3,331.6,2199.7,2839.4,7920.8,2535.7,2063.9,2482
32,806.23,335.45,548,51.1,64.3,280.9,1432,417.7,245.7,8522.4,365.1,9106.6,328.2,2182.3,2996.6,8035.4,2551.7,2155,2470.6
33,806.37,337.62,667.7,54.7,67.7,276.8,1418.3,418.6,261.9,7971.8,370,9112.8,302.4,2153.7,3192.1,8201.5,2580.9,2265.1,2471.4
34,806.51,339.78,808.4,54.9,71.2,270.4,1429.9,412,268.1,7426.2,385.1,9134.7,319.5,2172.2,3278.5,8377,2580.1,2398.6,2479
35,806.65,341.95,925.5,65.4,68.7,270.3,1436.3,400.6,273.4,6890.7,382.8,9113.9,295.9,2136.8,3312.5,8545,2585.8,2529.5,2443.4
36,806.79,344.11,976.5,61.6,72.9,272.3,1454.5,399,291.2,6427,392.6,9169,309.6,2146,3186.1,8645.4,2649.2,2602,2452.4
37,806.93,346.27,967.2,67.1,73,268.4,1465.4,393.6,300.2,6041.2,388,9107.8,284,2112.4,3010.8,8704.5,2651.1,2620.1,2414
38,807.08,348.43,878.5,74.2,74.8,267.4,1541.7,396.4,315.7,5851.7,404.6,9144.7,264.8,2105.6,2812.9,8699.2,2685.2,2642.2,2405.3
39,807.22,350.59,734.9,84.5,76.7,268.3,1638.6,395,333.4,5670,413.3,9138.4,269,2087.1,2652.6,8734.6,2681.3,2668.3,2410.4
40,807.36,352.75,595.5,96.7,72,272.7,1780.4,388.3,365,5600.5,416.1,9082.3,264.6,2089.6,2518.9,8825.2,2673.7,2774,2377.3
41,807.5,354.91,473.6,98.4,79.1,277.9,2012.8,368.7,388.5,5557.7,425.5,9084.6,258.1,2082.2,2431.4,9089.1,2652.1,2963,2340.1
