Integration Time,100,,,,,,,,,,,,,,,,
Timestamp,2019-02-27 20_32_14.845000,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,
Temperature,-15.35,,,,,,,,,,,,,,,,
CCD C0,784.3300171,,,,,,,,,,,,,,,,
CCD C1,0.281829298,,,,,,,,,,,,,,,,
CCD C2,1.55E-05,,,,,,,,,,,,,,,,
CCD C3,-2.28E-08,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wavelength,2019-02-27 20:32:14 Toluene Spectrum,2019-02-27 20:37:51 Cyclohexane Spectrum,2019-02-27 20:40:21 Benzene Spectrum,2019-02-27 20:43:07 BMSB Spectrum,2019-02-27 20:44:15 Caffeine Spectrum,2019-02-27 20:44:39 Acetaminophen Spectrum,2019-02-27 20:45:00 AmmoniumNitrate Spectrum,2019-02-27 20:45:24 Acetone Spectrum,2019-02-27 20:45:43 Isopropanol Spectrum,2019-02-27 20:47:30 MineralOil Spectrum,2019-02-27 20:47:53 CoconutOil Spectrum,2019-02-27 20:48:12 Methanol Spectrum,2019-02-27 20:49:34 AmmoniumChloride Spectrum,2019-02-27 20:49:56 Fructose Spectrum,2019-02-27 20:50:27 Sugar Spectrum,2019-02-27 20:51:00 Sucrose Spectrum,2019-02-27 20:51:31 GlucoseSolution Spectrum
792.23,367.7,13.1,611.5,999.6,355.9,1512.1,569.9,479.8,115.2,384.8,867,427.8,748.8,452.8,660.2,265.2,516.2
792.52,354.4,15.3,586.6,1146,373.3,1642.3,708.1,477.7,113.2,420.2,938.2,447.8,951.8,594.2,657.8,241.6,596.2
792.8,336.2,12.1,555,1160,429.9,1846.4,934.7,479.8,116.9,468.2,1041.4,493,1319.6,821.8,666.6,223,662.2
793.08,330.3,15.4,535.7,960.8,510.2,1995.6,1280.3,495.2,127.1,497.6,1163.6,517.2,1913.4,999.2,766.4,255,740.2
793.36,315.6,14.4,505.3,734.6,597.6,2039.3,1727,489.3,130.5,575.4,1299.4,569,2660.4,1011.8,880,318.4,857.8
793.65,297.6,13.8,480.7,651.6,686.5,2116.8,2092.6,503.8,136.1,623.4,1449,599.4,3257.4,964.6,987,338.8,972.4
793.93,292.5,11.3,457.6,738.1,772.8,2349.1,2154.6,511.6,144.7,690.6,1608.4,619.2,3693.2,998,1132,392.2,1074.4
794.21,272.5,11.8,428.1,836,858.8,2702.1,1991.4,514.3,152.2,768.8,1804.2,659.2,3964.2,1088.4,1214.4,394.2,1213.8
794.49,264.7,12.8,401.8,858.2,968.8,2881.6,1936.7,516.2,158.3,854.8,1991.4,687.8,4240.4,1264.4,1427.6,457.8,1353.2
794.78,265.8,14.9,387.8,857.6,1117.1,2767.3,2155.1,519,172.5,975.2,2236,731.4,4706,1430.6,1771.6,628,1501.8
795.06,257,11.4,359.2,861.2,1259.9,2610.5,2660.2,528.8,177.2,1072,2491.6,754.4,5381.4,1603,1971,707.2,1664
795.34,251.2,11.3,337.2,878.9,1330.7,2599.9,3361.4,530.9,186.3,1204.4,2769.8,793.2,6142.2,1814.6,2106,712.2,1842.6
795.63,250.4,15,315.8,903.6,1312.8,2675.8,3835.9,529.4,191.3,1340.8,3065.6,815.6,6506.6,2088.8,2227.4,713.6,1996
795.91,249.3,15.5,293.2,934.2,1328,2772.7,3728,545.5,213.1,1486.2,3399.4,862.4,6322,2325.6,2424.2,756.8,2174.4
796.19,260,15.2,275.4,1013.2,1380.7,2873.8,3223.7,551.3,230.3,1638.6,3757.8,903,5921,2430.8,2597.4,789.8,2331.8
796.48,279.9,15.5,253.3,1154.7,1464.7,3047.8,2685,555.1,232.6,1780.4,4134.6,926.4,5701.2,2503,2808.4,846.6,2501
796.76,303.1,13.7,233.3,1277.1,1525.4,3302.8,2311.7,547.3,239.4,1962,4578,962.8,5694,2658.8,3250.4,1036,2641.8
797.04,355.4,19.5,213.9,1332.8,1556.1,3733.6,2055.2,548.5,258.8,2118.8,5011.6,991,5732.2,2809.2,3792.8,1310.2,2742.6
797.32,444.2,18.9,199.4,1400,1554,4333.5,1891.6,549.3,266.1,2275.2,5504.8,1027.2,5724.4,2957.2,4244.2,1514.8,2854.2
797.61,588.6,23.6,181.3,1493.9,1558.9,5043.7,1786.4,545.8,273.1,2412.4,5972,1033.4,5562.6,3165.6,4262.6,1471.4,2949.4
797.89,878.6,23.4,167.1,1513.5,1642.9,5945.2,1712.7,547.4,284.4,2555.6,6416.2,1061.2,5296,3375.6,4108.2,1281.8,3024.6
798.17,1300.2,23.1,147.6,1448.7,1861.1,7210.2,1673.2,540,290,2681,6834.4,1078,4946.2,3558.6,4258,1297.2,3091.4
798.46,1634.9,23.5,133.4,1347.7,2261.8,7766.4,1623.5,542.6,308.2,2762.8,7142.8,1098,4612.2,3759.6,4736,1506.2,3097.2
798.74,1614.5,27.9,119.9,1271,2755.3,7120.8,1585.1,524.9,309.2,2814.4,7389.2,1087.6,4329.4,3994.6,5460.4,1860.2,3127.8
799.02,1268.2,33.3,109.7,1220.5,3140.1,6129.6,1529.8,514.1,313.6,2868.8,7612.6,1093.6,4089.4,4242.8,6826.6,2622.4,3086.2
799.31,892.6,32.3,99.6,1188.8,3210,5439,1451.7,506.4,320.4,2898.6,7716.2,1092.8,3878.4,4648.6,7917.4,3263.2,3074
799.59,628.5,37.9,85.9,1156.5,3109.4,5036.4,1374.3,495.6,319.5,2895.6,7816.6,1066.8,3675.6,5064,7534.6,3000.2,2993
799.87,469.4,42.7,81.3,1125.6,2829.7,4825.4,1293.3,486.9,325.9,2859.2,7847.2,1069.2,3494.6,5281.2,6856.4,2540,2951.4
800.16,363.5,39.6,70.1,1090.4,2344.6,4721,1193.9,473.7,325.4,2853.2,7899.6,1025.6,3320.8,5573.2,5958.8,1949.4,2892
800.44,296.2,36,62.9,1048.6,1966.6,4677.5,1120.7,462.7,333.3,2801.8,7913.4,1014.8,3178.4,6195.4,5524,1677.8,2831.4
800.72,247.1,38,56.9,1039.7,1757.3,4632.8,1033.9,446.6,329.8,2761.6,7918.4,991.2,3085,6273.8,5849.2,1823.6,2768.6
801.01,215.2,37.6,48.5,1055.5,1660.8,4622.6,960,439.4,323.7,2716.8,7920.2,959.6,2983.4,5869.2,6304.8,2098,2705.4
801.29,185.1,34.3,49.6,1114.9,1615.6,4600.2,898.2,422.8,330.6,2678.8,7931,951.4,2940.8,5567.8,6173.2,1997.2,2629.8
801.57,168.3,33.4,48.6,1153.2,1604.5,4601.9,838.1,409.6,332.5,2638,7957.4,913.2,2904.2,5508,5730.4,1695,2576.6
801.86,146.6,31.5,41.8,1177.1,1612.5,4616.6,787.6,399.4,327,2558.6,7924.2,856,2834.2,5717,5407.4,1455.2,2512
802.14,134.3,30.8,39.2,1188,1627,4639.1,737.7,383.8,309.2,2523.6,7908.8,828.4,2810.2,6281.2,5444.8,1414.4,2444.8
802.42,116.5,26.7,28.1,1199.6,1666.8,4680.5,695.8,387.6,298.8,2503.8,7904.4,782.8,2771,6942.8,6017,1812.2,2407.2
802.71,108.9,28.1,31.4,1360.5,1713.1,4710.1,658.7,370.6,285.7,2461.8,7875.8,760.6,2778.4,7250.4,7057,2552.6,2353.6
802.99,102.2,31.5,32.1,1679.8,1758.3,4763.8,623.2,365.6,271.3,2424.2,7839.6,710.4,2796.2,7574.6,7218.2,2678.2,2303.4
803.28,99.6,26.8,34.7,2009.3,1790.7,4819.3,581.7,360.3,255.1,2399.2,7820,664.4,2772.6,7500.4,7057.6,2495.4,2252
803.56,97,27.3,32.1,2135.1,1834.4,4897.3,549.6,348.7,241.6,2370.4,7793.2,630.2,2771,6802.8,7412,2666.2,2195.4
